"county","precinct","office","district","party","candidate","votes"
"Monroe","Henrietta 1","State Senate",59,,"Total votes",533
"Monroe","Henrietta 2","State Senate",59,,"Total votes",422
"Monroe","Henrietta 3","State Senate",59,,"Total votes",318
"Monroe","Henrietta 4","State Senate",59,,"Total votes",509
"Monroe","Henrietta 5","State Senate",59,,"Total votes",459
"Monroe","Henrietta 6","State Senate",59,,"Total votes",435
"Monroe","Henrietta 7","State Senate",59,,"Total votes",354
"Monroe","Henrietta 8","State Senate",59,,"Total votes",431
"Monroe","Henrietta 9","State Senate",59,,"Total votes",372
"Monroe","Henrietta 10","State Senate",59,,"Total votes",435
"Monroe","Henrietta 11","State Senate",59,,"Total votes",426
"Monroe","Henrietta 12","State Senate",59,,"Total votes",409
"Monroe","Henrietta 13","State Senate",59,,"Total votes",728
"Monroe","Henrietta 14","State Senate",59,,"Total votes",424
"Monroe","Henrietta 15","State Senate",59,,"Total votes",558
"Monroe","Henrietta 16","State Senate",59,,"Total votes",302
"Monroe","Henrietta 17","State Senate",59,,"Total votes",486
"Monroe","Henrietta 18","State Senate",59,,"Total votes",524
"Monroe","Henrietta 19","State Senate",59,,"Total votes",396
"Monroe","Henrietta 20","State Senate",59,,"Total votes",740
"Monroe","Henrietta 21","State Senate",59,,"Total votes",348
"Monroe","Henrietta 22","State Senate",59,,"Total votes",639
"Monroe","Henrietta 23","State Senate",59,,"Total votes",471
"Monroe","Henrietta 24","State Senate",59,,"Total votes",573
"Monroe","Henrietta 25","State Senate",59,,"Total votes",394
"Monroe","Henrietta 26","State Senate",59,,"Total votes",854
"Monroe","Henrietta 27","State Senate",59,,"Total votes",729
"Monroe","Henrietta 28","State Senate",59,,"Total votes",508
"Monroe","Henrietta 29","State Senate",59,,"Total votes",1427
"Monroe","Henrietta 30","State Senate",59,,"Total votes",1056
"Monroe","Henrietta 31","State Senate",59,,"Total votes",324
"Monroe","Henrietta 32","State Senate",59,,"Total votes",665
"Monroe","Henrietta 33","State Senate",59,,"Total votes",346
"Monroe","Henrietta 34","State Senate",59,,"Total votes",309
"Monroe","Henrietta 35","State Senate",59,,"Total votes",635
"Monroe","Wheatland 1","State Senate",59,,"Total votes",449
"Monroe","Wheatland 2","State Senate",59,,"Total votes",471
"Monroe","Wheatland 3","State Senate",59,,"Total votes",602
"Monroe","Wheatland 4","State Senate",59,,"Total votes",502
"Monroe","Wheatland 5","State Senate",59,,"Total votes",534
"Monroe","Henrietta 1","State Senate",59,"DEM","Tom Casey",198
"Monroe","Henrietta 2","State Senate",59,"DEM","Tom Casey",150
"Monroe","Henrietta 3","State Senate",59,"DEM","Tom Casey",191
"Monroe","Henrietta 4","State Senate",59,"DEM","Tom Casey",291
"Monroe","Henrietta 5","State Senate",59,"DEM","Tom Casey",176
"Monroe","Henrietta 6","State Senate",59,"DEM","Tom Casey",153
"Monroe","Henrietta 7","State Senate",59,"DEM","Tom Casey",151
"Monroe","Henrietta 8","State Senate",59,"DEM","Tom Casey",155
"Monroe","Henrietta 9","State Senate",59,"DEM","Tom Casey",179
"Monroe","Henrietta 10","State Senate",59,"DEM","Tom Casey",169
"Monroe","Henrietta 11","State Senate",59,"DEM","Tom Casey",218
"Monroe","Henrietta 12","State Senate",59,"DEM","Tom Casey",136
"Monroe","Henrietta 13","State Senate",59,"DEM","Tom Casey",347
"Monroe","Henrietta 14","State Senate",59,"DEM","Tom Casey",177
"Monroe","Henrietta 15","State Senate",59,"DEM","Tom Casey",221
"Monroe","Henrietta 16","State Senate",59,"DEM","Tom Casey",151
"Monroe","Henrietta 17","State Senate",59,"DEM","Tom Casey",204
"Monroe","Henrietta 18","State Senate",59,"DEM","Tom Casey",230
"Monroe","Henrietta 19","State Senate",59,"DEM","Tom Casey",149
"Monroe","Henrietta 20","State Senate",59,"DEM","Tom Casey",314
"Monroe","Henrietta 21","State Senate",59,"DEM","Tom Casey",140
"Monroe","Henrietta 22","State Senate",59,"DEM","Tom Casey",279
"Monroe","Henrietta 23","State Senate",59,"DEM","Tom Casey",212
"Monroe","Henrietta 24","State Senate",59,"DEM","Tom Casey",267
"Monroe","Henrietta 25","State Senate",59,"DEM","Tom Casey",139
"Monroe","Henrietta 26","State Senate",59,"DEM","Tom Casey",312
"Monroe","Henrietta 27","State Senate",59,"DEM","Tom Casey",274
"Monroe","Henrietta 28","State Senate",59,"DEM","Tom Casey",194
"Monroe","Henrietta 29","State Senate",59,"DEM","Tom Casey",685
"Monroe","Henrietta 30","State Senate",59,"DEM","Tom Casey",509
"Monroe","Henrietta 31","State Senate",59,"DEM","Tom Casey",172
"Monroe","Henrietta 32","State Senate",59,"DEM","Tom Casey",312
"Monroe","Henrietta 33","State Senate",59,"DEM","Tom Casey",148
"Monroe","Henrietta 34","State Senate",59,"DEM","Tom Casey",142
"Monroe","Henrietta 35","State Senate",59,"DEM","Tom Casey",251
"Monroe","Wheatland 1","State Senate",59,"DEM","Tom Casey",163
"Monroe","Wheatland 2","State Senate",59,"DEM","Tom Casey",112
"Monroe","Wheatland 3","State Senate",59,"DEM","Tom Casey",218
"Monroe","Wheatland 4","State Senate",59,"DEM","Tom Casey",179
"Monroe","Wheatland 5","State Senate",59,"DEM","Tom Casey",125
"Monroe","Henrietta 1","State Senate",59,"REP","Patrick M. Gallivan",231
"Monroe","Henrietta 2","State Senate",59,"REP","Patrick M. Gallivan",176
"Monroe","Henrietta 3","State Senate",59,"REP","Patrick M. Gallivan",76
"Monroe","Henrietta 4","State Senate",59,"REP","Patrick M. Gallivan",148
"Monroe","Henrietta 5","State Senate",59,"REP","Patrick M. Gallivan",182
"Monroe","Henrietta 6","State Senate",59,"REP","Patrick M. Gallivan",175
"Monroe","Henrietta 7","State Senate",59,"REP","Patrick M. Gallivan",135
"Monroe","Henrietta 8","State Senate",59,"REP","Patrick M. Gallivan",192
"Monroe","Henrietta 9","State Senate",59,"REP","Patrick M. Gallivan",122
"Monroe","Henrietta 10","State Senate",59,"REP","Patrick M. Gallivan",173
"Monroe","Henrietta 11","State Senate",59,"REP","Patrick M. Gallivan",140
"Monroe","Henrietta 12","State Senate",59,"REP","Patrick M. Gallivan",181
"Monroe","Henrietta 13","State Senate",59,"REP","Patrick M. Gallivan",262
"Monroe","Henrietta 14","State Senate",59,"REP","Patrick M. Gallivan",149
"Monroe","Henrietta 15","State Senate",59,"REP","Patrick M. Gallivan",226
"Monroe","Henrietta 16","State Senate",59,"REP","Patrick M. Gallivan",97
"Monroe","Henrietta 17","State Senate",59,"REP","Patrick M. Gallivan",176
"Monroe","Henrietta 18","State Senate",59,"REP","Patrick M. Gallivan",196
"Monroe","Henrietta 19","State Senate",59,"REP","Patrick M. Gallivan",177
"Monroe","Henrietta 20","State Senate",59,"REP","Patrick M. Gallivan",303
"Monroe","Henrietta 21","State Senate",59,"REP","Patrick M. Gallivan",140
"Monroe","Henrietta 22","State Senate",59,"REP","Patrick M. Gallivan",248
"Monroe","Henrietta 23","State Senate",59,"REP","Patrick M. Gallivan",170
"Monroe","Henrietta 24","State Senate",59,"REP","Patrick M. Gallivan",187
"Monroe","Henrietta 25","State Senate",59,"REP","Patrick M. Gallivan",164
"Monroe","Henrietta 26","State Senate",59,"REP","Patrick M. Gallivan",360
"Monroe","Henrietta 27","State Senate",59,"REP","Patrick M. Gallivan",300
"Monroe","Henrietta 28","State Senate",59,"REP","Patrick M. Gallivan",223
"Monroe","Henrietta 29","State Senate",59,"REP","Patrick M. Gallivan",474
"Monroe","Henrietta 30","State Senate",59,"REP","Patrick M. Gallivan",359
"Monroe","Henrietta 31","State Senate",59,"REP","Patrick M. Gallivan",84
"Monroe","Henrietta 32","State Senate",59,"REP","Patrick M. Gallivan",244
"Monroe","Henrietta 33","State Senate",59,"REP","Patrick M. Gallivan",128
"Monroe","Henrietta 34","State Senate",59,"REP","Patrick M. Gallivan",113
"Monroe","Henrietta 35","State Senate",59,"REP","Patrick M. Gallivan",257
"Monroe","Wheatland 1","State Senate",59,"REP","Patrick M. Gallivan",181
"Monroe","Wheatland 2","State Senate",59,"REP","Patrick M. Gallivan",239
"Monroe","Wheatland 3","State Senate",59,"REP","Patrick M. Gallivan",258
"Monroe","Wheatland 4","State Senate",59,"REP","Patrick M. Gallivan",207
"Monroe","Wheatland 5","State Senate",59,"REP","Patrick M. Gallivan",277
