"county","precinct","office","district","party","candidate","votes"
"Monroe","Leg. Dist. 24 18","President",,,"Total votes",411
"Monroe","Leg. Dist. 24 20","President",,,"Total votes",79
"Monroe","Leg. Dist. 25 1","President",,,"Total votes",436
"Monroe","Leg. Dist. 25 2","President",,,"Total votes",361
"Monroe","Leg. Dist. 25 3","President",,,"Total votes",410
"Monroe","Leg. Dist. 25 4/24","President",,,"Total votes",205
"Monroe","Leg. Dist. 25 5","President",,,"Total votes",350
"Monroe","Leg. Dist. 25 6","President",,,"Total votes",273
"Monroe","Leg. Dist. 25 7","President",,,"Total votes",437
"Monroe","Leg. Dist. 25 8","President",,,"Total votes",361
"Monroe","Leg. Dist. 25 9","President",,,"Total votes",178
"Monroe","Leg. Dist. 25 10","President",,,"Total votes",376
"Monroe","Leg. Dist. 25 11","President",,,"Total votes",185
"Monroe","Leg. Dist. 25 12/28","President",,,"Total votes",373
"Monroe","Leg. Dist. 25 13","President",,,"Total votes",330
"Monroe","Leg. Dist. 25 14","President",,,"Total votes",184
"Monroe","Leg. Dist. 25 15","President",,,"Total votes",272
"Monroe","Leg. Dist. 25 16","President",,,"Total votes",314
"Monroe","Leg. Dist. 25 17","President",,,"Total votes",262
"Monroe","Leg. Dist. 25 18","President",,,"Total votes",423
"Monroe","Leg. Dist. 25 20","President",,,"Total votes",121
"Monroe","Leg. Dist. 25 21/28-19","President",,,"Total votes",265
"Monroe","Leg. Dist. 25 22","President",,,"Total votes",248
"Monroe","Leg. Dist. 25 23","President",,,"Total votes",211
"Monroe","Leg. Dist. 25 25","President",,,"Total votes",562
"Monroe","Leg. Dist. 25 26/27","President",,,"Total votes",185
"Monroe","Leg. Dist. 25 29/30","President",,,"Total votes",301
"Monroe","Leg. Dist. 26 1","President",,,"Total votes",583
"Monroe","Leg. Dist. 26 2","President",,,"Total votes",256
"Monroe","Leg. Dist. 26 3","President",,,"Total votes",175
"Monroe","Leg. Dist. 26 4","President",,,"Total votes",313
"Monroe","Leg. Dist. 26 5","President",,,"Total votes",329
"Monroe","Leg. Dist. 26 6","President",,,"Total votes",291
"Monroe","Leg. Dist. 26 7","President",,,"Total votes",381
"Monroe","Leg. Dist. 26 8","President",,,"Total votes",354
"Monroe","Leg. Dist. 26 9","President",,,"Total votes",382
"Monroe","Leg. Dist. 26 10","President",,,"Total votes",395
"Monroe","Leg. Dist. 26 11","President",,,"Total votes",318
"Monroe","Leg. Dist. 26 12","President",,,"Total votes",342
"Monroe","Leg. Dist. 26 13","President",,,"Total votes",365
"Monroe","Leg. Dist. 26 14","President",,,"Total votes",383
"Monroe","Leg. Dist. 26 15","President",,,"Total votes",345
"Monroe","Leg. Dist. 26 16","President",,,"Total votes",324
"Monroe","Leg. Dist. 26 17","President",,,"Total votes",285
"Monroe","Leg. Dist. 27 1","President",,,"Total votes",421
"Monroe","Leg. Dist. 27 2","President",,,"Total votes",433
"Monroe","Leg. Dist. 27 3","President",,,"Total votes",359
"Monroe","Leg. Dist. 27 4","President",,,"Total votes",439
"Monroe","Leg. Dist. 27 5","President",,,"Total votes",449
"Monroe","Leg. Dist. 27 6","President",,,"Total votes",426
"Monroe","Leg. Dist. 27 7","President",,,"Total votes",404
"Monroe","Leg. Dist. 27 8","President",,,"Total votes",682
"Monroe","Leg. Dist. 27 9","President",,,"Total votes",430
"Monroe","Leg. Dist. 27 10","President",,,"Total votes",396
"Monroe","Leg. Dist. 27 11","President",,,"Total votes",486
"Monroe","Leg. Dist. 27 12","President",,,"Total votes",375
"Monroe","Leg. Dist. 27 13","President",,,"Total votes",436
