"county","precinct","office","district","party","candidate","votes"
"Monroe","Mendon 1","State Assembly",133,,"Total votes",754
"Monroe","Mendon 2","State Assembly",133,,"Total votes",603
"Monroe","Mendon 3","State Assembly",133,,"Total votes",709
"Monroe","Mendon 4","State Assembly",133,,"Total votes",524
"Monroe","Mendon 5","State Assembly",133,,"Total votes",659
"Monroe","Mendon 6","State Assembly",133,,"Total votes",645
"Monroe","Mendon 7","State Assembly",133,,"Total votes",720
"Monroe","Mendon 8","State Assembly",133,,"Total votes",304
"Monroe","Mendon 9","State Assembly",133,,"Total votes",559
"Monroe","Pittsford 1","State Assembly",133,,"Total votes",397
"Monroe","Pittsford 2","State Assembly",133,,"Total votes",421
"Monroe","Pittsford 3","State Assembly",133,,"Total votes",674
"Monroe","Pittsford 4","State Assembly",133,,"Total votes",591
"Monroe","Pittsford 5","State Assembly",133,,"Total votes",376
"Monroe","Pittsford 6","State Assembly",133,,"Total votes",359
"Monroe","Pittsford 7","State Assembly",133,,"Total votes",218
"Monroe","Pittsford 8","State Assembly",133,,"Total votes",467
"Monroe","Pittsford 9","State Assembly",133,,"Total votes",491
"Monroe","Pittsford 10","State Assembly",133,,"Total votes",652
"Monroe","Pittsford 11","State Assembly",133,,"Total votes",392
"Monroe","Pittsford 12","State Assembly",133,,"Total votes",498
"Monroe","Pittsford 13","State Assembly",133,,"Total votes",328
"Monroe","Pittsford 14","State Assembly",133,,"Total votes",592
"Monroe","Pittsford 15","State Assembly",133,,"Total votes",413
"Monroe","Pittsford 16","State Assembly",133,,"Total votes",417
"Monroe","Pittsford 17","State Assembly",133,,"Total votes",605
"Monroe","Pittsford 18","State Assembly",133,,"Total votes",426
"Monroe","Pittsford 19","State Assembly",133,,"Total votes",305
"Monroe","Pittsford 20","State Assembly",133,,"Total votes",502
"Monroe","Pittsford 21","State Assembly",133,,"Total votes",516
"Monroe","Pittsford 22","State Assembly",133,,"Total votes",585
"Monroe","Pittsford 23","State Assembly",133,,"Total votes",412
"Monroe","Pittsford 24","State Assembly",133,,"Total votes",537
"Monroe","Pittsford 25","State Assembly",133,,"Total votes",583
"Monroe","Pittsford 26","State Assembly",133,,"Total votes",481
"Monroe","Pittsford 27","State Assembly",133,,"Total votes",447
"Monroe","Pittsford 28","State Assembly",133,,"Total votes",427
"Monroe","Pittsford 29","State Assembly",133,,"Total votes",453
"Monroe","Pittsford 30","State Assembly",133,,"Total votes",431
"Monroe","Pittsford 31","State Assembly",133,,"Total votes",592
"Monroe","Pittsford 32","State Assembly",133,,"Total votes",522
"Monroe","Pittsford 33","State Assembly",133,,"Total votes",734
"Monroe","Pittsford 34","State Assembly",133,,"Total votes",850
"Monroe","Rush 1","State Assembly",133,,"Total votes",605
"Monroe","Rush 2","State Assembly",133,,"Total votes",422
"Monroe","Rush 3","State Assembly",133,,"Total votes",575
"Monroe","Rush 4","State Assembly",133,,"Total votes",587
"Monroe","Wheatland 1","State Assembly",133,,"Total votes",449
"Monroe","Wheatland 2","State Assembly",133,,"Total votes",471
"Monroe","Wheatland 3","State Assembly",133,,"Total votes",602
"Monroe","Wheatland 4","State Assembly",133,,"Total votes",502
"Monroe","Wheatland 5","State Assembly",133,,"Total votes",534
"Monroe","Mendon 1","State Assembly",133,"DEM","Barbara A. Baer",302
"Monroe","Mendon 2","State Assembly",133,"DEM","Barbara A. Baer",266
"Monroe","Mendon 3","State Assembly",133,"DEM","Barbara A. Baer",270
"Monroe","Mendon 4","State Assembly",133,"DEM","Barbara A. Baer",240
"Monroe","Mendon 5","State Assembly",133,"DEM","Barbara A. Baer",261
"Monroe","Mendon 6","State Assembly",133,"DEM","Barbara A. Baer",255
"Monroe","Mendon 7","State Assembly",133,"DEM","Barbara A. Baer",272
"Monroe","Mendon 8","State Assembly",133,"DEM","Barbara A. Baer",127
"Monroe","Mendon 9","State Assembly",133,"DEM","Barbara A. Baer",210
"Monroe","Pittsford 1","State Assembly",133,"DEM","Barbara A. Baer",217
"Monroe","Pittsford 2","State Assembly",133,"DEM","Barbara A. Baer",247
"Monroe","Pittsford 3","State Assembly",133,"DEM","Barbara A. Baer",329
"Monroe","Pittsford 4","State Assembly",133,"DEM","Barbara A. Baer",286
"Monroe","Pittsford 5","State Assembly",133,"DEM","Barbara A. Baer",208
"Monroe","Pittsford 6","State Assembly",133,"DEM","Barbara A. Baer",221
"Monroe","Pittsford 7","State Assembly",133,"DEM","Barbara A. Baer",123
"Monroe","Pittsford 8","State Assembly",133,"DEM","Barbara A. Baer",198
"Monroe","Pittsford 9","State Assembly",133,"DEM","Barbara A. Baer",227
"Monroe","Pittsford 10","State Assembly",133,"DEM","Barbara A. Baer",258
"Monroe","Pittsford 11","State Assembly",133,"DEM","Barbara A. Baer",157
"Monroe","Pittsford 12","State Assembly",133,"DEM","Barbara A. Baer",243
"Monroe","Pittsford 13","State Assembly",133,"DEM","Barbara A. Baer",166
"Monroe","Pittsford 14","State Assembly",133,"DEM","Barbara A. Baer",275
"Monroe","Pittsford 15","State Assembly",133,"DEM","Barbara A. Baer",187
"Monroe","Pittsford 16","State Assembly",133,"DEM","Barbara A. Baer",203
"Monroe","Pittsford 17","State Assembly",133,"DEM","Barbara A. Baer",326
"Monroe","Pittsford 18","State Assembly",133,"DEM","Barbara A. Baer",227
"Monroe","Pittsford 19","State Assembly",133,"DEM","Barbara A. Baer",128
"Monroe","Pittsford 20","State Assembly",133,"DEM","Barbara A. Baer",255
"Monroe","Pittsford 21","State Assembly",133,"DEM","Barbara A. Baer",284
"Monroe","Pittsford 22","State Assembly",133,"DEM","Barbara A. Baer",312
"Monroe","Pittsford 23","State Assembly",133,"DEM","Barbara A. Baer",182
"Monroe","Pittsford 24","State Assembly",133,"DEM","Barbara A. Baer",255
"Monroe","Pittsford 25","State Assembly",133,"DEM","Barbara A. Baer",298
"Monroe","Pittsford 26","State Assembly",133,"DEM","Barbara A. Baer",221
