"county","precinct","office","district","party","candidate","votes"
"Monroe","Leg. Dist. 16 1","State Senate",55,,"Total votes",8
"Monroe","Leg. Dist. 21 1","State Senate",55,,"Total votes",371
"Monroe","Leg. Dist. 21 2","State Senate",55,,"Total votes",316
"Monroe","Leg. Dist. 21 3","State Senate",55,,"Total votes",220
"Monroe","Leg. Dist. 21 4","State Senate",55,,"Total votes",216
"Monroe","Leg. Dist. 21 5","State Senate",55,,"Total votes",225
"Monroe","Leg. Dist. 21 6","State Senate",55,,"Total votes",446
"Monroe","Leg. Dist. 21 7","State Senate",55,,"Total votes",554
"Monroe","Leg. Dist. 21 8","State Senate",55,,"Total votes",183
"Monroe","Leg. Dist. 21 9","State Senate",55,,"Total votes",408
"Monroe","Leg. Dist. 21 10","State Senate",55,,"Total votes",476
"Monroe","Leg. Dist. 21 11","State Senate",55,,"Total votes",350
"Monroe","Leg. Dist. 21 12","State Senate",55,,"Total votes",734
"Monroe","Leg. Dist. 21 13","State Senate",55,,"Total votes",253
"Monroe","Leg. Dist. 21 14","State Senate",55,,"Total votes",178
"Monroe","Leg. Dist. 21 15","State Senate",55,,"Total votes",494
"Monroe","Leg. Dist. 21 16","State Senate",55,,"Total votes",176
"Monroe","Leg. Dist. 21 17","State Senate",55,,"Total votes",380
"Monroe","Leg. Dist. 21 18","State Senate",55,,"Total votes",320
"Monroe","Leg. Dist. 21 19","State Senate",55,,"Total votes",209
"Monroe","Leg. Dist. 21 20","State Senate",55,,"Total votes",209
"Monroe","Leg. Dist. 21 21","State Senate",55,,"Total votes",296
"Monroe","Leg. Dist. 21 22","State Senate",55,,"Total votes",408
"Monroe","Leg. Dist. 21 23","State Senate",55,,"Total votes",360
"Monroe","Leg. Dist. 21 24","State Senate",55,,"Total votes",501
"Monroe","Leg. Dist. 21 25","State Senate",55,,"Total votes",328
"Monroe","Leg. Dist. 21 26","State Senate",55,,"Total votes",119
"Monroe","Leg. Dist. 21 27","State Senate",55,,"Total votes",249
"Monroe","Leg. Dist. 22 1","State Senate",55,,"Total votes",460
"Monroe","Leg. Dist. 22 8","State Senate",55,,"Total votes",292
"Monroe","Leg. Dist. 22 11","State Senate",55,,"Total votes",325
"Monroe","Leg. Dist. 22 12","State Senate",55,,"Total votes",207
"Monroe","Leg. Dist. 22 17","State Senate",55,,"Total votes",133
"Monroe","Leg. Dist. 22 20","State Senate",55,,"Total votes",314
"Monroe","Leg. Dist. 22 22","State Senate",55,,"Total votes",357
"Monroe","Leg. Dist. 22 23","State Senate",55,,"Total votes",188
"Monroe","Leg. Dist. 22 24","State Senate",55,,"Total votes",115
"Monroe","Leg. Dist. 22 27","State Senate",55,,"Total votes",311
"Monroe","Leg. Dist. 23 1","State Senate",55,,"Total votes",196
"Monroe","Leg. Dist. 23 2","State Senate",55,,"Total votes",380
"Monroe","Leg. Dist. 23 3","State Senate",55,,"Total votes",283
"Monroe","Leg. Dist. 23 4","State Senate",55,,"Total votes",519
