"county","precinct","office","district","party","candidate","votes"
"Monroe","Leg. Dist. 21 5","State Assembly",137,,"Total votes",225
"Monroe","Leg. Dist. 21 11","State Assembly",137,,"Total votes",350
"Monroe","Leg. Dist. 21 13","State Assembly",137,,"Total votes",253
"Monroe","Leg. Dist. 21 16","State Assembly",137,,"Total votes",176
"Monroe","Leg. Dist. 21 18","State Assembly",137,,"Total votes",320
"Monroe","Leg. Dist. 21 19","State Assembly",137,,"Total votes",209
"Monroe","Leg. Dist. 21 21","State Assembly",137,,"Total votes",296
"Monroe","Leg. Dist. 21 22","State Assembly",137,,"Total votes",408
"Monroe","Leg. Dist. 21 23","State Assembly",137,,"Total votes",360
"Monroe","Leg. Dist. 21 25","State Assembly",137,,"Total votes",328
"Monroe","Leg. Dist. 21 27","State Assembly",137,,"Total votes",249
"Monroe","Leg. Dist. 22 1","State Assembly",137,,"Total votes",460
"Monroe","Leg. Dist. 22 2","State Assembly",137,,"Total votes",183
"Monroe","Leg. Dist. 22 3","State Assembly",137,,"Total votes",305
"Monroe","Leg. Dist. 22 4","State Assembly",137,,"Total votes",193
"Monroe","Leg. Dist. 22 5","State Assembly",137,,"Total votes",237
"Monroe","Leg. Dist. 22 6","State Assembly",137,,"Total votes",251
"Monroe","Leg. Dist. 22 7","State Assembly",137,,"Total votes",190
"Monroe","Leg. Dist. 22 8","State Assembly",137,,"Total votes",292
"Monroe","Leg. Dist. 22 9","State Assembly",137,,"Total votes",225
"Monroe","Leg. Dist. 22 10","State Assembly",137,,"Total votes",213
"Monroe","Leg. Dist. 22 11","State Assembly",137,,"Total votes",325
"Monroe","Leg. Dist. 22 12","State Assembly",137,,"Total votes",207
"Monroe","Leg. Dist. 22 13","State Assembly",137,,"Total votes",114
"Monroe","Leg. Dist. 22 14","State Assembly",137,,"Total votes",256
"Monroe","Leg. Dist. 22 15","State Assembly",137,,"Total votes",347
"Monroe","Leg. Dist. 22 16","State Assembly",137,,"Total votes",132
"Monroe","Leg. Dist. 22 17","State Assembly",137,,"Total votes",133
"Monroe","Leg. Dist. 22 18","State Assembly",137,,"Total votes",184
"Monroe","Leg. Dist. 22 19","State Assembly",137,,"Total votes",195
"Monroe","Leg. Dist. 22 20","State Assembly",137,,"Total votes",314
"Monroe","Leg. Dist. 22 21","State Assembly",137,,"Total votes",178
"Monroe","Leg. Dist. 22 22","State Assembly",137,,"Total votes",357
"Monroe","Leg. Dist. 22 23","State Assembly",137,,"Total votes",188
"Monroe","Leg. Dist. 22 24","State Assembly",137,,"Total votes",115
"Monroe","Leg. Dist. 22 25","State Assembly",137,,"Total votes",512
"Monroe","Leg. Dist. 22 26/25-19","State Assembly",137,,"Total votes",286
"Monroe","Leg. Dist. 22 27","State Assembly",137,,"Total votes",311
"Monroe","Leg. Dist. 23 23","State Assembly",137,,"Total votes",231
"Monroe","Leg. Dist. 25 1","State Assembly",137,,"Total votes",435
"Monroe","Leg. Dist. 25 2","State Assembly",137,,"Total votes",361
"Monroe","Leg. Dist. 25 3","State Assembly",137,,"Total votes",410
"Monroe","Leg. Dist. 25 4/24","State Assembly",137,,"Total votes",204
"Monroe","Leg. Dist. 25 5","State Assembly",137,,"Total votes",350
"Monroe","Leg. Dist. 25 6","State Assembly",137,,"Total votes",272
"Monroe","Leg. Dist. 25 7","State Assembly",137,,"Total votes",436
"Monroe","Leg. Dist. 25 8","State Assembly",137,,"Total votes",360
"Monroe","Leg. Dist. 25 9","State Assembly",137,,"Total votes",178
"Monroe","Leg. Dist. 25 10","State Assembly",137,,"Total votes",376
"Monroe","Leg. Dist. 25 11","State Assembly",137,,"Total votes",185
"Monroe","Leg. Dist. 25 13","State Assembly",137,,"Total votes",330
"Monroe","Leg. Dist. 25 14","State Assembly",137,,"Total votes",183
"Monroe","Leg. Dist. 25 15","State Assembly",137,,"Total votes",272
"Monroe","Leg. Dist. 25 16","State Assembly",137,,"Total votes",313
"Monroe","Leg. Dist. 25 17","State Assembly",137,,"Total votes",262
"Monroe","Leg. Dist. 25 18","State Assembly",137,,"Total votes",423
"Monroe","Leg. Dist. 25 20","State Assembly",137,,"Total votes",121
"Monroe","Leg. Dist. 25 21/28-19","State Assembly",137,,"Total votes",265
"Monroe","Leg. Dist. 25 22","State Assembly",137,,"Total votes",247
"Monroe","Leg. Dist. 25 23","State Assembly",137,,"Total votes",209
"Monroe","Leg. Dist. 25 25","State Assembly",137,,"Total votes",561
"Monroe","Leg. Dist. 25 26/27","State Assembly",137,,"Total votes",184
"Monroe","Leg. Dist. 27 1","State Assembly",137,,"Total votes",420
"Monroe","Leg. Dist. 27 2","State Assembly",137,,"Total votes",432
