"county","precinct","office","district","party","candidate","votes"
"Monroe","Clarkson 1","State Assembly",139,,"Total votes",640
"Monroe","Clarkson 2","State Assembly",139,,"Total votes",88
"Monroe","Clarkson 3","State Assembly",139,,"Total votes",497
"Monroe","Clarkson 4","State Assembly",139,,"Total votes",716
"Monroe","Clarkson 5","State Assembly",139,,"Total votes",986
"Monroe","Clarkson 6","State Assembly",139,,"Total votes",402
"Monroe","Hamlin 1","State Assembly",139,,"Total votes",452
"Monroe","Hamlin 2","State Assembly",139,,"Total votes",473
"Monroe","Hamlin 3","State Assembly",139,,"Total votes",482
"Monroe","Hamlin 4","State Assembly",139,,"Total votes",340
"Monroe","Hamlin 5","State Assembly",139,,"Total votes",426
"Monroe","Hamlin 6","State Assembly",139,,"Total votes",371
"Monroe","Hamlin 7","State Assembly",139,,"Total votes",547
"Monroe","Hamlin 8","State Assembly",139,,"Total votes",331
"Monroe","Hamlin 9","State Assembly",139,,"Total votes",283
"Monroe","Hamlin 10","State Assembly",139,,"Total votes",509
"Monroe","Riga 1","State Assembly",139,,"Total votes",779
"Monroe","Riga 2","State Assembly",139,,"Total votes",592
"Monroe","Riga 3","State Assembly",139,,"Total votes",377
"Monroe","Riga 4","State Assembly",139,,"Total votes",506
"Monroe","Riga 5","State Assembly",139,,"Total votes",491
"Monroe","Riga 6","State Assembly",139,,"Total votes",476
"Monroe","Sweden 1","State Assembly",139,,"Total votes",509
"Monroe","Sweden 2","State Assembly",139,,"Total votes",281
"Monroe","Sweden 3","State Assembly",139,,"Total votes",566
"Monroe","Sweden 4","State Assembly",139,,"Total votes",580
"Monroe","Sweden 5","State Assembly",139,,"Total votes",137
"Monroe","Sweden 6","State Assembly",139,,"Total votes",433
"Monroe","Sweden 7","State Assembly",139,,"Total votes",481
"Monroe","Sweden 8","State Assembly",139,,"Total votes",421
"Monroe","Sweden 9","State Assembly",139,,"Total votes",430
"Monroe","Sweden 10","State Assembly",139,,"Total votes",672
"Monroe","Sweden 11","State Assembly",139,,"Total votes",182
"Monroe","Sweden 12","State Assembly",139,,"Total votes",444
"Monroe","Clarkson 1","State Assembly",139,"REP","Stephen M. Hawley",368
"Monroe","Clarkson 2","State Assembly",139,"REP","Stephen M. Hawley",50
"Monroe","Clarkson 3","State Assembly",139,"REP","Stephen M. Hawley",288
"Monroe","Clarkson 4","State Assembly",139,"REP","Stephen M. Hawley",461
"Monroe","Clarkson 5","State Assembly",139,"REP","Stephen M. Hawley",513
"Monroe","Clarkson 6","State Assembly",139,"REP","Stephen M. Hawley",230
"Monroe","Hamlin 1","State Assembly",139,"REP","Stephen M. Hawley",244
"Monroe","Hamlin 2","State Assembly",139,"REP","Stephen M. Hawley",289
"Monroe","Hamlin 3","State Assembly",139,"REP","Stephen M. Hawley",265
"Monroe","Hamlin 4","State Assembly",139,"REP","Stephen M. Hawley",228
