"county","precinct","office","district","party","candidate","votes"
"Monroe","Leg. Dist. 07 1","State Assembly",136,,"Total votes",540
"Monroe","Leg. Dist. 07 2","State Assembly",136,,"Total votes",368
"Monroe","Leg. Dist. 16 1","State Assembly",136,,"Total votes",8
"Monroe","Leg. Dist. 21 7","State Assembly",136,,"Total votes",554
"Monroe","Leg. Dist. 21 8","State Assembly",136,,"Total votes",183
"Monroe","Leg. Dist. 21 20","State Assembly",136,,"Total votes",209
"Monroe","Leg. Dist. 21 24","State Assembly",136,,"Total votes",501
"Monroe","Leg. Dist. 23 12","State Assembly",136,,"Total votes",416
"Monroe","Leg. Dist. 23 16","State Assembly",136,,"Total votes",182
"Monroe","Leg. Dist. 23 18","State Assembly",136,,"Total votes",689
"Monroe","Leg. Dist. 23 19","State Assembly",136,,"Total votes",402
"Monroe","Leg. Dist. 23 22","State Assembly",136,,"Total votes",312
"Monroe","Leg. Dist. 23 24","State Assembly",136,,"Total votes",358
"Monroe","Leg. Dist. 23 25","State Assembly",136,,"Total votes",491
"Monroe","Leg. Dist. 23 26","State Assembly",136,,"Total votes",578
"Monroe","Leg. Dist. 23 27","State Assembly",136,,"Total votes",267
"Monroe","Leg. Dist. 26 1","State Assembly",136,,"Total votes",580
"Monroe","Leg. Dist. 26 2","State Assembly",136,,"Total votes",255
"Monroe","Leg. Dist. 26 3","State Assembly",136,,"Total votes",175
"Monroe","Leg. Dist. 26 4","State Assembly",136,,"Total votes",313
"Monroe","Leg. Dist. 26 5","State Assembly",136,,"Total votes",329
"Monroe","Leg. Dist. 26 6","State Assembly",136,,"Total votes",289
"Monroe","Leg. Dist. 26 7","State Assembly",136,,"Total votes",381
"Monroe","Leg. Dist. 26 8","State Assembly",136,,"Total votes",354
"Monroe","Leg. Dist. 26 9","State Assembly",136,,"Total votes",380
"Monroe","Leg. Dist. 26 10","State Assembly",136,,"Total votes",395
"Monroe","Leg. Dist. 26 11","State Assembly",136,,"Total votes",318
"Monroe","Leg. Dist. 26 12","State Assembly",136,,"Total votes",342
"Monroe","Leg. Dist. 26 13","State Assembly",136,,"Total votes",363
"Monroe","Leg. Dist. 26 14","State Assembly",136,,"Total votes",383
"Monroe","Leg. Dist. 26 15","State Assembly",136,,"Total votes",341
"Monroe","Leg. Dist. 26 16","State Assembly",136,,"Total votes",324
"Monroe","Leg. Dist. 26 17","State Assembly",136,,"Total votes",285
"Monroe","Leg. Dist. 28 1","State Assembly",136,,"Total votes",355
"Monroe","Leg. Dist. 28 2","State Assembly",136,,"Total votes",232
"Monroe","Leg. Dist. 28 4","State Assembly",136,,"Total votes",220
"Monroe","Leg. Dist. 28 5","State Assembly",136,,"Total votes",205
"Monroe","Leg. Dist. 28 6","State Assembly",136,,"Total votes",444
"Monroe","Leg. Dist. 28 7","State Assembly",136,,"Total votes",559
"Monroe","Leg. Dist. 28 9","State Assembly",136,,"Total votes",352
"Monroe","Leg. Dist. 28 16","State Assembly",136,,"Total votes",289
"Monroe","Leg. Dist. 28 18","State Assembly",136,,"Total votes",314
"Monroe","Leg. Dist. 28 20","State Assembly",136,,"Total votes",453
"Monroe","Leg. Dist. 28 21","State Assembly",136,,"Total votes",404
"Monroe","Leg. Dist. 29 8","State Assembly",136,,"Total votes",104
"Monroe","Leg. Dist. 29 17","State Assembly",136,,"Total votes",233
"Monroe","Leg. Dist. 29 18","State Assembly",136,,"Total votes",317
"Monroe","Leg. Dist. 29 21","State Assembly",136,,"Total votes",395
"Monroe","Leg. Dist. 29 22","State Assembly",136,,"Total votes",170
"Monroe","Leg. Dist. 29 23","State Assembly",136,,"Total votes",302
"Monroe","Brighton 1","State Assembly",136,,"Total votes",507
"Monroe","Brighton 2","State Assembly",136,,"Total votes",324
"Monroe","Brighton 3","State Assembly",136,,"Total votes",431
"Monroe","Brighton 4","State Assembly",136,,"Total votes",431
"Monroe","Brighton 5","State Assembly",136,,"Total votes",436
"Monroe","Brighton 6","State Assembly",136,,"Total votes",593
"Monroe","Brighton 7","State Assembly",136,,"Total votes",389
"Monroe","Brighton 8","State Assembly",136,,"Total votes",450
"Monroe","Brighton 9","State Assembly",136,,"Total votes",401
"Monroe","Brighton 10","State Assembly",136,,"Total votes",484
"Monroe","Brighton 11","State Assembly",136,,"Total votes",520
"Monroe","Brighton 12","State Assembly",136,,"Total votes",546
"Monroe","Brighton 13","State Assembly",136,,"Total votes",293
"Monroe","Brighton 14","State Assembly",136,,"Total votes",366
"Monroe","Brighton 15","State Assembly",136,,"Total votes",373
"Monroe","Brighton 16","State Assembly",136,,"Total votes",293
"Monroe","Brighton 17","State Assembly",136,,"Total votes",258
"Monroe","Brighton 18","State Assembly",136,,"Total votes",419
"Monroe","Brighton 19","State Assembly",136,,"Total votes",277
"Monroe","Brighton 20","State Assembly",136,,"Total votes",353
"Monroe","Brighton 21","State Assembly",136,,"Total votes",385
"Monroe","Brighton 22","State Assembly",136,,"Total votes",443
"Monroe","Brighton 23","State Assembly",136,,"Total votes",330
"Monroe","Brighton 24","State Assembly",136,,"Total votes",476
"Monroe","Brighton 25","State Assembly",136,,"Total votes",334
"Monroe","Brighton 26","State Assembly",136,,"Total votes",345
"Monroe","Brighton 27","State Assembly",136,,"Total votes",325
"Monroe","Brighton 28","State Assembly",136,,"Total votes",567
"Monroe","Brighton 29","State Assembly",136,,"Total votes",344
"Monroe","Brighton 30","State Assembly",136,,"Total votes",787
"Monroe","Brighton 31","State Assembly",136,,"Total votes",369
"Monroe","Brighton 32","State Assembly",136,,"Total votes",467
"Monroe","Brighton 33","State Assembly",136,,"Total votes",464
"Monroe","Brighton 34","State Assembly",136,,"Total votes",429
"Monroe","Brighton 35","State Assembly",136,,"Total votes",386
"Monroe","Brighton 36","State Assembly",136,,"Total votes",407
"Monroe","Brighton 37","State Assembly",136,,"Total votes",327
"Monroe","Brighton 38","State Assembly",136,,"Total votes",466
"Monroe","Brighton 39","State Assembly",136,,"Total votes",355
"Monroe","Brighton 40","State Assembly",136,,"Total votes",701
"Monroe","Brighton 41","State Assembly",136,,"Total votes",625
"Monroe","Brighton 42","State Assembly",136,,"Total votes",143
"Monroe","Brighton 43","State Assembly",136,,"Total votes",475
"Monroe","Brighton 44","State Assembly",136,,"Total votes",175
"Monroe","Brighton 45","State Assembly",136,,"Total votes",332
"Monroe","Brighton 46","State Assembly",136,,"Total votes",253
"Monroe","Irondequoit 1","State Assembly",136,,"Total votes",654
"Monroe","Irondequoit 2","State Assembly",136,,"Total votes",325
"Monroe","Irondequoit 3","State Assembly",136,,"Total votes",519
"Monroe","Irondequoit 4","State Assembly",136,,"Total votes",218
"Monroe","Irondequoit 5","State Assembly",136,,"Total votes",444
"Monroe","Irondequoit 6","State Assembly",136,,"Total votes",643
"Monroe","Irondequoit 7","State Assembly",136,,"Total votes",537
"Monroe","Irondequoit 8","State Assembly",136,,"Total votes",417
"Monroe","Irondequoit 9","State Assembly",136,,"Total votes",430
"Monroe","Irondequoit 10","State Assembly",136,,"Total votes",405
"Monroe","Irondequoit 11","State Assembly",136,,"Total votes",248
