"county","precinct","office","district","party","candidate","votes"
"Monroe","Ogden 1","State Senate",62,,"Total votes",449
"Monroe","Ogden 2","State Senate",62,,"Total votes",492
"Monroe","Ogden 3","State Senate",62,,"Total votes",737
"Monroe","Ogden 4","State Senate",62,,"Total votes",458
"Monroe","Ogden 5","State Senate",62,,"Total votes",448
"Monroe","Ogden 6","State Senate",62,,"Total votes",625
"Monroe","Ogden 7","State Senate",62,,"Total votes",321
"Monroe","Ogden 8","State Senate",62,,"Total votes",604
"Monroe","Ogden 9","State Senate",62,,"Total votes",487
"Monroe","Ogden 10","State Senate",62,,"Total votes",509
"Monroe","Ogden 11","State Senate",62,,"Total votes",533
"Monroe","Ogden 12","State Senate",62,,"Total votes",638
"Monroe","Ogden 13","State Senate",62,,"Total votes",487
"Monroe","Ogden 14","State Senate",62,,"Total votes",466
"Monroe","Ogden 15","State Senate",62,,"Total votes",656
"Monroe","Ogden 16","State Senate",62,,"Total votes",331
"Monroe","Ogden 17","State Senate",62,,"Total votes",450
"Monroe","Ogden 18","State Senate",62,,"Total votes",708
"Monroe","Ogden 19","State Senate",62,,"Total votes",617
"Monroe","Ogden 20","State Senate",62,,"Total votes",585
"Monroe","Sweden 1","State Senate",62,,"Total votes",509
"Monroe","Sweden 2","State Senate",62,,"Total votes",281
"Monroe","Sweden 3","State Senate",62,,"Total votes",566
"Monroe","Sweden 4","State Senate",62,,"Total votes",580
"Monroe","Sweden 5","State Senate",62,,"Total votes",137
"Monroe","Sweden 6","State Senate",62,,"Total votes",433
"Monroe","Sweden 7","State Senate",62,,"Total votes",481
"Monroe","Sweden 8","State Senate",62,,"Total votes",421
"Monroe","Sweden 9","State Senate",62,,"Total votes",430
"Monroe","Sweden 10","State Senate",62,,"Total votes",672
"Monroe","Sweden 11","State Senate",62,,"Total votes",182
"Monroe","Sweden 12","State Senate",62,,"Total votes",444
"Monroe","Ogden 1","State Senate",62,"REP","Robert G. Ortt",224
"Monroe","Ogden 2","State Senate",62,"REP","Robert G. Ortt",282
"Monroe","Ogden 3","State Senate",62,"REP","Robert G. Ortt",448
"Monroe","Ogden 4","State Senate",62,"REP","Robert G. Ortt",267
"Monroe","Ogden 5","State Senate",62,"REP","Robert G. Ortt",247
"Monroe","Ogden 6","State Senate",62,"REP","Robert G. Ortt",333
"Monroe","Ogden 7","State Senate",62,"REP","Robert G. Ortt",181
"Monroe","Ogden 8","State Senate",62,"REP","Robert G. Ortt",352
"Monroe","Ogden 9","State Senate",62,"REP","Robert G. Ortt",252
"Monroe","Ogden 10","State Senate",62,"REP","Robert G. Ortt",280
"Monroe","Ogden 11","State Senate",62,"REP","Robert G. Ortt",310
"Monroe","Ogden 12","State Senate",62,"REP","Robert G. Ortt",349
"Monroe","Ogden 13","State Senate",62,"REP","Robert G. Ortt",277
"Monroe","Ogden 14","State Senate",62,"REP","Robert G. Ortt",262
"Monroe","Ogden 15","State Senate",62,"REP","Robert G. Ortt",386
"Monroe","Ogden 16","State Senate",62,"REP","Robert G. Ortt",197
"Monroe","Ogden 17","State Senate",62,"REP","Robert G. Ortt",264
"Monroe","Ogden 18","State Senate",62,"REP","Robert G. Ortt",395
"Monroe","Ogden 19","State Senate",62,"REP","Robert G. Ortt",330
"Monroe","Ogden 20","State Senate",62,"REP","Robert G. Ortt",311
