"county","precinct","office","district","party","candidate","votes"
"Monroe","Webster 1","State Senate",54,,"Total votes",477
"Monroe","Webster 2","State Senate",54,,"Total votes",764
"Monroe","Webster 3","State Senate",54,,"Total votes",607
"Monroe","Webster 4","State Senate",54,,"Total votes",274
"Monroe","Webster 5","State Senate",54,,"Total votes",496
"Monroe","Webster 6","State Senate",54,,"Total votes",435
"Monroe","Webster 7","State Senate",54,,"Total votes",555
"Monroe","Webster 8","State Senate",54,,"Total votes",446
"Monroe","Webster 9","State Senate",54,,"Total votes",504
"Monroe","Webster 10","State Senate",54,,"Total votes",1061
"Monroe","Webster 11","State Senate",54,,"Total votes",560
"Monroe","Webster 12","State Senate",54,,"Total votes",625
"Monroe","Webster 13","State Senate",54,,"Total votes",466
"Monroe","Webster 14","State Senate",54,,"Total votes",443
"Monroe","Webster 15","State Senate",54,,"Total votes",385
"Monroe","Webster 16","State Senate",54,,"Total votes",687
"Monroe","Webster 17","State Senate",54,,"Total votes",484
"Monroe","Webster 18","State Senate",54,,"Total votes",371
"Monroe","Webster 19","State Senate",54,,"Total votes",777
"Monroe","Webster 20","State Senate",54,,"Total votes",703
"Monroe","Webster 21","State Senate",54,,"Total votes",638
"Monroe","Webster 22","State Senate",54,,"Total votes",545
"Monroe","Webster 23","State Senate",54,,"Total votes",436
"Monroe","Webster 24","State Senate",54,,"Total votes",1221
"Monroe","Webster 25","State Senate",54,,"Total votes",261
"Monroe","Webster 26","State Senate",54,,"Total votes",565
"Monroe","Webster 27","State Senate",54,,"Total votes",645
"Monroe","Webster 28","State Senate",54,,"Total votes",517
"Monroe","Webster 29","State Senate",54,,"Total votes",349
"Monroe","Webster 30","State Senate",54,,"Total votes",381
"Monroe","Webster 31","State Senate",54,,"Total votes",612
"Monroe","Webster 32","State Senate",54,,"Total votes",691
"Monroe","Webster 33","State Senate",54,,"Total votes",517
"Monroe","Webster 34","State Senate",54,,"Total votes",303
"Monroe","Webster 35","State Senate",54,,"Total votes",368
"Monroe","Webster 36","State Senate",54,,"Total votes",451
"Monroe","Webster 37","State Senate",54,,"Total votes",876
"Monroe","Webster 38","State Senate",54,,"Total votes",557
"Monroe","Webster 39","State Senate",54,,"Total votes",474
"Monroe","Webster 40","State Senate",54,,"Total votes",1122
"Monroe","Webster 41","State Senate",54,,"Total votes",693
"Monroe","Webster 42","State Senate",54,,"Total votes",556
"Monroe","Webster 43","State Senate",54,,"Total votes",443
"Monroe","Webster 1","State Senate",54,"DEM","Kenan S. Baldridge",169
"Monroe","Webster 2","State Senate",54,"DEM","Kenan S. Baldridge",329
"Monroe","Webster 3","State Senate",54,"DEM","Kenan S. Baldridge",221
"Monroe","Webster 4","State Senate",54,"DEM","Kenan S. Baldridge",87
"Monroe","Webster 5","State Senate",54,"DEM","Kenan S. Baldridge",169
"Monroe","Webster 6","State Senate",54,"DEM","Kenan S. Baldridge",175
"Monroe","Webster 7","State Senate",54,"DEM","Kenan S. Baldridge",176
"Monroe","Webster 8","State Senate",54,"DEM","Kenan S. Baldridge",145
"Monroe","Webster 9","State Senate",54,"DEM","Kenan S. Baldridge",140
"Monroe","Webster 10","State Senate",54,"DEM","Kenan S. Baldridge",335
"Monroe","Webster 11","State Senate",54,"DEM","Kenan S. Baldridge",164
"Monroe","Webster 12","State Senate",54,"DEM","Kenan S. Baldridge",173
"Monroe","Webster 13","State Senate",54,"DEM","Kenan S. Baldridge",155
"Monroe","Webster 14","State Senate",54,"DEM","Kenan S. Baldridge",162
"Monroe","Webster 15","State Senate",54,"DEM","Kenan S. Baldridge",130
"Monroe","Webster 16","State Senate",54,"DEM","Kenan S. Baldridge",242
"Monroe","Webster 17","State Senate",54,"DEM","Kenan S. Baldridge",144
"Monroe","Webster 18","State Senate",54,"DEM","Kenan S. Baldridge",127
"Monroe","Webster 19","State Senate",54,"DEM","Kenan S. Baldridge",220
"Monroe","Webster 20","State Senate",54,"DEM","Kenan S. Baldridge",201
"Monroe","Webster 21","State Senate",54,"DEM","Kenan S. Baldridge",193
"Monroe","Webster 22","State Senate",54,"DEM","Kenan S. Baldridge",172
"Monroe","Webster 23","State Senate",54,"DEM","Kenan S. Baldridge",163
"Monroe","Webster 24","State Senate",54,"DEM","Kenan S. Baldridge",395
"Monroe","Webster 25","State Senate",54,"DEM","Kenan S. Baldridge",72
"Monroe","Webster 26","State Senate",54,"DEM","Kenan S. Baldridge",182
