Leg. Dist. 16,,,,,,,,
"",39,157,88,11,4,3,0,51
"",40,242,127,22,26,1,2,64
"",41,403,183,28,43,9,2,138
"",42,440,245,36,43,3,2,111
"",43,364,181,28,38,3,1,113
"",44,720,421,37,57,9,4,192
"",45,317,160,27,28,3,0,99
"",46,394,230,22,30,4,2,106
"",47,156,96,10,5,1,1,43
"",48,369,197,38,38,4,5,87
"",49,533,260,46,62,5,3,157
"",50,346,151,24,28,4,2,137
"",51,488,245,43,44,5,3,148
"",52,479,241,26,39,4,0,169
"",53,380,178,24,32,6,2,138
"",54,126,53,18,13,0,0,42
"",55,460,215,37,45,3,2,158
"",56,346,174,21,23,2,1,125
Irondequoit,,,,,,,,
"",57,556,289,45,37,5,2,178
"",58,491,233,44,42,7,2,163
"",59,364,195,36,34,3,1,95
"",60,427,207,42,58,6,0,114
"",61,503,254,34,48,4,3,160
"",62,423,218,35,48,4,6,112
"",63,328,178,27,37,5,1,80
"",64,202,60,10,12,0,1,119
"",65,300,134,19,25,5,2,115
"",66,246,79,16,14,7,2,128
"",67,311,164,21,22,1,1,102
"",68,425,212,36,31,7,1,138
Irondequoit,,"27,252","13,562","2,163","2,456",289,144,"8,638"
Mendon,,,,,,,,
"",1,754,428,53,64,7,1,201
"",2,603,310,54,52,8,4,175
"",3,709,391,90,59,4,4,161
"",4,524,278,33,32,8,4,169
"",5,659,368,82,38,6,6,159
"",6,645,351,64,56,4,7,163
"",7,720,427,66,43,6,3,175
"",8,304,147,29,32,4,1,91
"",9,559,324,59,49,1,6,120
Mendon,,"5,477","3,024",530,425,48,36,"1,414"
Penfield,,,,,,,,
"",1,249,123,20,19,2,2,83
"",2,460,250,36,41,6,3,124
"",3,443,263,50,32,3,5,90
"",4,667,398,92,43,4,3,127
"",5,495,250,43,42,1,6,153
"",6,430,291,32,28,2,1,76
"",7,458,234,39,41,10,5,129
"",8,392,225,31,31,8,2,95
"",9,561,245,39,42,9,8,218
"",10,380,205,31,37,3,2,102
"",11,310,187,16,21,5,1,80
"",12,486,257,36,48,5,1,139
"",13,670,386,65,39,7,0,173
"",14,618,383,66,43,6,2,118
"",15,742,404,63,67,6,6,196
"",16,224,127,10,24,4,2,57
Penfield,,,,,,,,
"",17,496,273,37,47,10,1,128
"",18,374,215,24,30,3,3,99
"",19,714,390,49,62,10,5,198
"",20,579,349,58,35,3,1,133
"",21,563,279,39,51,5,4,185
"",22,492,233,41,54,5,6,153
"",23,671,394,46,55,4,5,167
"",24,654,379,64,54,7,6,144
"",25,426,264,36,25,4,1,96
"",26,340,212,23,26,1,1,77
"",27,526,295,43,34,7,3,144
"",28,451,229,37,43,4,3,135
"",29,690,355,56,61,10,6,202
"",30,859,528,81,54,8,6,182
"",31,315,171,26,23,1,2,92
"",32,334,184,16,24,1,3,106
"",33,449,227,54,43,5,6,114
"",34,472,280,41,19,2,2,128
"",35,722,403,46,74,4,3,192
"",36,511,293,33,58,4,7,116
"",37,917,576,83,64,5,3,186
"",38,333,204,27,26,4,1,71
"",39,400,232,42,25,5,4,92
"",40,659,413,37,35,10,1,163
"",41,639,422,40,41,1,1,134
"",42,476,291,42,32,5,0,106
Penfield,,"21,647","12,319","1,790","1,693",209,133,"5,503"
Perinton,,,,,,,,
"",1,757,424,64,54,6,2,207
"",2,574,301,51,37,5,5,175
"",3,404,225,40,38,5,4,92
"",4,417,232,32,37,7,4,105
"",5,298,157,24,29,6,4,78
"",6,417,208,26,31,6,5,141
"",7,552,284,42,44,3,7,172
"",8,472,259,49,33,5,2,124
"",9,667,427,59,47,5,3,126
"",10,542,280,46,43,8,4,161
"",11,349,175,39,38,3,3,91
"",12,443,243,38,36,4,4,118
"",13,404,257,32,22,3,3,87
Perinton,,,,,,,,
"",14,482,262,48,37,4,3,128
"",15,544,316,36,55,3,2,132
"",16,377,228,34,20,3,2,90
"",17,499,256,31,40,4,8,160
"",18,491,259,43,44,6,3,136
"",19,463,270,49,32,3,1,108
"",20,460,246,36,39,2,3,134
"",21,566,327,44,42,9,5,139
"",22,344,193,25,28,6,2,90
"",23,730,415,51,46,13,5,200
"",24,767,464,50,45,6,1,201
"",25,380,199,23,37,4,4,113
"",26,487,288,50,38,4,4,103
"",27,391,241,37,22,3,1,87
"",28,388,230,22,33,3,6,94
"",29,295,174,19,19,3,4,76
"",30,510,288,40,41,8,2,131
"",31,561,334,38,39,5,2,143
"",32,447,242,39,38,5,3,120
"",33,517,292,31,39,4,2,149
"",34,564,334,48,35,2,2,143
"",35,411,239,34,39,8,3,88
"",36,342,174,22,31,1,3,111
"",37,493,271,46,45,3,2,126
"",38,618,345,51,55,10,4,153
"",39,638,405,54,50,8,1,120
"",40,374,201,29,30,8,5,101
"",41,331,177,35,32,7,3,77
"",42,529,281,50,48,1,4,145
"",43,876,538,66,60,15,2,195
"",44,407,223,30,33,2,2,117
"",45,856,529,76,68,8,5,170
"",46,301,154,33,22,5,3,84
"",47,582,348,53,40,6,5,130
"",48,415,242,35,38,2,4,94
"",49,403,240,34,24,5,3,97
"",50,238,76,17,20,3,1,121
"",51,623,405,57,33,6,7,115
"",52,543,322,32,32,2,0,155
"",53,397,213,25,42,8,0,109
"",54,863,555,56,52,7,1,192
"",55,480,309,25,29,2,5,110
Perinton,,,,,,,,
"",56,791,511,56,46,9,5,164
Perinton,,"28,070","16,088","2,252","2,127",292,183,"7,128"
Pittsford,,,,,,,,
"",1,397,197,21,26,8,6,139
"",2,421,173,29,36,1,6,176
"",3,674,384,28,37,4,6,215
"",4,591,305,43,38,8,1,196
"",5,376,142,22,30,6,7,169
"",6,359,152,11,34,5,1,156
"",7,218,93,19,16,2,4,84
"",8,467,275,33,21,2,4,132
"",9,491,253,33,25,8,7,165
"",10,652,378,40,32,1,4,197
"",11,392,207,37,19,2,5,122
"",12,498,276,25,34,7,3,153
"",13,328,153,22,19,3,5,126
"",14,592,326,47,26,8,2,183
"",15,413,198,28,42,6,4,135
"",16,417,217,25,44,6,2,123
"",17,605,281,36,54,2,3,229
"",18,426,203,26,35,2,2,158
"",19,305,173,35,21,5,0,71
"",20,502,238,32,44,3,7,178
"",21,516,272,32,32,2,4,174
"",22,585,305,43,41,4,3,189
"",23,412,217,33,37,4,3,118
"",24,537,279,36,29,2,4,187
"",25,583,324,38,34,6,4,177
"",26,481,265,33,39,9,2,133
"",27,447,219,35,42,5,3,143
"",28,427,241,19,22,7,4,134
"",29,453,279,31,33,3,1,106
"",30,431,232,20,34,2,3,140
"",31,592,351,37,46,2,7,149
"",32,522,259,32,51,4,4,172
"",33,734,437,52,47,7,5,186
"",34,850,471,37,45,8,4,285
Pittsford,,"16,694","8,775","1,070","1,165",154,130,"5,400"
Rush,,,,,,,,
"",1,605,367,63,46,4,6,119
"",2,422,253,48,33,3,4,81
Rush,,,,,,,,
"",3,575,309,61,55,4,3,143
"",4,587,316,63,51,6,4,147
Rush,,"2,189","1,245",235,185,17,17,490
TOWNS,,"104,139","56,493","8,264","8,317","1,046",668,"29,351"
GRAND TOTAL:,,"133,106","64,798","9,675","11,111","1,525","1,055","44,942"
