Leg. Dist. 07,,,,,,,,,,,,
"",6,291,209,30,6,13,12,6,5,8,2,0
"",7/19,332,230,47,7,10,10,9,4,10,2,3
"",8,317,206,47,12,13,12,5,2,9,6,5
"",9,252,155,50,11,7,6,7,4,5,5,2
"",10,468,326,38,6,17,42,11,9,10,8,1
"",11/12,282,212,47,5,3,1,4,4,4,2,0
"",13,409,290,38,7,18,25,10,9,8,2,2
"",14/21,534,339,64,10,33,38,14,9,17,6,4
"",15,440,284,82,9,20,19,8,5,3,3,7
"",16,377,240,61,8,19,20,10,4,4,8,3
Leg. Dist. 24,,,,,,,,,,,,
"",17,139,96,36,0,1,0,3,0,1,1,1
"",18,411,269,62,12,19,16,9,11,6,5,2
"",20,79,57,8,1,1,6,2,0,2,0,2
Leg. Dist. 24,,"6,310","4,298",842,129,234,326,140,104,122,72,43
Leg. Dist. 25,,,,,,,,,,,,
"",1,436,334,52,5,11,8,11,3,5,4,3
"",2,361,319,10,0,10,8,2,5,4,2,1
"",3,410,370,22,4,1,5,2,5,1,0,0
"",4/24,205,173,15,1,1,5,4,0,0,2,4
"",5,350,319,12,2,3,6,1,2,1,2,2
"",6,273,187,24,10,13,21,5,4,5,3,1
"",7,437,412,4,1,3,2,3,3,1,0,8
"",8,361,337,8,2,6,0,1,3,0,3,1
"",9,178,170,1,0,3,2,1,1,0,0,0
"",10,376,324,20,2,5,12,5,1,5,1,1
"",11,185,170,5,0,2,1,1,3,0,1,2
"",12/28,373,247,28,7,22,34,10,10,9,5,1
"",13,330,296,4,3,8,10,1,1,1,2,4
"",14,184,127,12,5,12,14,8,3,2,0,1
"",15,272,259,7,1,1,2,2,0,0,0,0
"",16,314,266,30,2,1,1,2,4,3,1,4
Leg. Dist. 25,,,,,,,,,,,,
"",17,262,237,6,1,1,7,2,3,0,1,4
"",18,423,360,31,3,7,5,2,2,1,6,6
"",20,121,79,25,5,1,4,4,0,0,3,0
"",21/28-19,265,225,22,4,1,4,3,1,1,1,3
"",22,248,190,22,4,10,4,4,3,2,7,2
"",23,211,183,13,0,4,4,5,0,0,2,0
"",25,562,434,64,9,13,10,9,7,4,5,7
"",26/27,185,129,19,0,10,10,2,5,1,2,7
"",29/30,301,213,30,3,21,14,3,5,5,5,2
Leg. Dist. 25,,"7,623","6,360",486,74,170,193,93,74,51,58,64
Leg. Dist. 26,,,,,,,,,,,,
"",1,583,296,193,25,10,17,16,6,7,11,2
"",2,256,133,83,18,5,6,4,2,0,3,2
"",3,175,99,53,5,0,4,5,0,2,5,2
"",4,313,153,114,18,6,6,8,1,1,5,1
"",5,329,212,74,11,10,5,9,2,5,1,0
"",6,291,209,49,10,5,4,5,1,2,3,3
"",7,381,255,85,10,5,7,7,1,3,5,3
"",8,354,253,63,17,6,1,7,0,3,3,1
"",9,382,257,68,14,9,11,2,5,7,6,3
"",10,395,264,75,17,6,9,11,6,1,3,3
"",11,318,168,105,13,8,5,5,1,7,5,1
Leg. Dist. 26,,,,,,,,,,,,
"",12,342,146,138,21,7,4,12,5,3,4,2
"",13,365,167,137,25,3,12,6,2,4,2,7
"",14,383,200,108,33,5,8,8,5,8,4,4
"",15,345,239,63,12,9,5,4,3,3,5,2
"",16,324,145,122,22,10,1,8,4,6,4,2
"",17,285,140,98,16,6,6,6,6,2,4,1
Leg. Dist. 26,,"5,821","3,336","1,628",287,110,111,123,50,64,73,39
Leg. Dist. 27,,,,,,,,,,,,
"",1,421,333,41,12,6,10,5,5,4,2,3
"",2,433,365,36,11,0,12,2,2,2,2,1
"",3,359,275,41,12,4,8,5,3,5,3,3
"",4,439,363,32,6,5,14,7,4,1,6,1
"",5,449,385,22,4,6,21,3,3,0,3,2
"",6,426,380,23,4,4,6,1,2,1,2,3
"",7,404,317,39,4,10,12,9,3,4,0,6
"",8,682,616,29,2,4,11,3,4,2,6,5
"",9,430,373,21,3,5,16,2,6,2,2,0
"",10,396,297,50,9,12,9,3,1,6,6,3
"",11,486,408,36,7,5,11,6,7,4,2,0
"",12,375,307,29,9,6,10,3,3,5,2,1
"",13,436,396,19,2,5,5,3,4,0,0,2
"",14,324,285,17,1,2,9,0,1,1,2,6
Leg. Dist. 27,,,,,,,,,,,,
"",15,390,360,8,6,2,7,1,1,0,2,3
"",16,409,355,17,2,9,6,7,2,6,5,0
"",17,494,408,46,3,8,10,4,1,2,6,6
"",18,442,307,99,7,6,2,10,3,1,1,6
"",19,449,401,17,5,4,11,3,4,1,3,0
"",20,291,267,9,1,3,3,2,2,1,2,1
"",21,216,187,10,5,7,2,1,1,1,1,1
"",22,349,244,70,9,3,5,4,1,6,3,4
"",23,275,255,4,2,3,5,2,4,0,0,0
"",25,182,112,42,10,3,4,3,0,2,3,3
"",26,244,165,54,5,3,5,7,3,2,0,0
Leg. Dist. 27,,"9,801","8,161",811,141,125,214,96,70,59,64,60
Leg. Dist. 28,,,,,,,,,,,,
"",1,355,276,41,6,9,7,4,4,1,5,2
"",2,235,172,38,7,3,3,7,0,0,2,3
"",3,234,199,23,1,4,1,3,0,1,1,1
"",4,221,158,42,4,1,4,6,2,0,1,3
"",5,206,140,42,6,2,4,3,2,2,4,1
"",6,447,321,82,10,9,10,6,3,4,1,1
"",7,560,408,106,9,9,6,10,5,5,1,1
"",8,312,266,27,4,1,3,3,2,1,1,4
"",9,353,238,71,12,8,6,9,3,0,3,3
Leg. Dist. 28,,,,,,,,,,,,
"",10,145,116,19,3,0,2,2,1,0,0,2
"",11,289,234,38,3,0,6,1,4,1,0,2
"",12,203,160,21,4,4,8,3,0,1,1,1
"",13,345,262,50,6,3,4,10,3,4,2,1
"",14,348,279,34,11,3,6,8,1,2,2,2
"",15,151,126,19,1,0,3,1,0,0,1,0
"",16,289,206,50,5,7,9,4,2,0,1,5
"",17,57,42,10,3,0,1,0,1,0,0,0
"",18,314,239,41,6,3,7,7,2,2,6,1
"",20,454,320,78,10,9,9,9,6,4,5,4
"",21,406,311,46,12,9,13,3,5,4,1,2
"",22,202,173,18,3,1,4,2,1,0,0,0
Leg. Dist. 28,,"6,126","4,646",896,126,85,116,101,47,32,38,39
Leg. Dist. 29,,,,,,,,,,,,
"",1,53,46,4,0,0,2,0,1,0,0,0
"",2,154,134,11,2,2,1,0,2,0,1,1
"",3,18,17,1,0,0,0,0,0,0,0,0
"",4,379,264,74,12,8,6,7,3,1,3,1
"",5,398,316,55,7,2,5,2,3,1,4,3
"",6,253,197,43,2,2,4,1,3,0,1,0
"",7,244,149,60,10,2,7,3,2,3,4,4
"",8,104,85,10,1,3,1,2,1,0,1,0
Leg. Dist. 29,,,,,,,,,,,,
"",9,557,426,90,11,5,3,7,2,2,6,5
"",10,496,427,40,9,3,3,4,2,0,2,6
"",11,335,229,67,8,9,6,4,6,3,1,2
"",12,431,352,41,9,9,1,6,5,1,3,4
"",13,277,255,7,1,2,4,3,2,0,0,3
"",14,132,98,14,2,3,7,5,2,0,0,1
"",15,389,336,27,6,4,3,4,1,1,1,6
"",16,145,134,5,1,0,0,0,0,1,0,4
"",17,234,155,55,11,0,2,2,2,4,2,1
"",18,318,203,63,13,7,11,8,3,1,9,0
"",19,223,182,21,3,2,5,4,0,0,3,3
"",20,518,438,39,6,7,7,6,8,3,0,4
"",21,396,293,60,9,7,6,7,4,2,5,3
"",22,170,155,12,0,1,0,0,1,0,0,1
"",23,302,239,41,5,2,6,1,1,0,1,6
"",24,489,391,53,15,7,6,5,5,1,2,4
"",25/28,464,371,64,8,2,6,2,2,0,1,8
"",26,198,178,13,2,1,1,0,0,1,2,0
Leg. Dist. 29,,"7,677","6,070",970,153,90,103,83,61,25,52,70
CITY,,"70,307","52,847","9,001","1,481","1,449","1,822","1,128",708,712,647,512
Brighton,,,,,,,,,,,,
