Leg. Dist. 07,,,,,,,,,,
"",5,436,218,151,13,21,18,3,0,12
"",6,593,252,253,24,25,16,3,0,20
"",7,389,172,150,15,15,18,1,0,18
"",8,450,168,236,13,8,15,2,0,8
Brighton,,,,,,,,,,
"",9,401,175,149,22,15,13,4,0,23
"",10,484,233,192,17,9,12,4,0,17
"",11,520,228,195,29,18,21,5,0,24
"",12,546,260,181,23,29,19,4,2,28
"",13,293,117,125,12,9,15,1,0,14
"",14,366,206,96,8,15,18,4,0,19
"",15,373,157,136,27,13,15,0,1,24
"",16,293,79,174,17,2,6,1,0,14
"",17,258,136,79,6,3,5,0,0,29
"",18,419,208,141,12,19,19,1,0,19
"",19,277,128,97,20,13,10,3,0,6
"",20,353,174,103,22,17,9,2,1,25
"",21,385,163,149,16,19,19,1,0,18
"",22,443,181,194,17,9,18,1,1,22
"",23,330,152,114,17,13,16,0,1,17
"",24,476,175,209,31,12,18,4,1,26
"",25,334,162,103,11,22,17,3,0,16
"",26,345,129,153,19,15,11,2,0,16
"",27,325,143,119,14,11,19,3,0,16
"",28,567,260,218,21,20,20,1,0,27
"",29,344,139,158,18,7,16,2,0,4
"",30,787,417,243,21,28,19,3,2,54
"",31,369,157,151,5,18,25,1,0,12
"",32,467,208,175,16,21,30,3,0,14
"",33,464,200,190,18,19,15,3,0,19
"",34,429,182,162,28,16,22,2,0,17
"",35,386,183,121,19,21,15,2,0,25
"",36,407,208,108,21,18,17,1,1,33
"",37,327,149,115,11,19,22,0,0,11
"",38,466,217,166,21,17,18,0,1,26
"",39,355,142,140,23,11,16,4,0,19
"",40,701,322,257,30,19,42,5,0,26
"",41,625,289,222,30,26,30,2,0,26
"",42,143,54,57,10,7,11,0,1,3
"",43,475,232,164,19,9,19,3,0,29
"",44,175,78,55,7,10,10,2,2,11
"",45,332,138,138,18,8,17,1,0,12
"",46,253,123,91,6,5,6,1,0,21
Brighton,,"18,854","8,431","7,070",829,722,790,96,15,901
Clarkson,,,,,,,,,,
"",1,640,109,375,76,16,30,1,0,33
"",2,88,15,51,8,3,2,0,0,9
Clarkson,,,,,,,,,,
"",3,497,116,279,48,9,12,3,0,30
"",4,716,116,449,86,13,28,0,0,24
"",5,986,212,498,123,21,48,13,0,71
"",6,402,89,221,38,12,20,1,0,21
Clarkson,,"3,329",657,"1,873",379,74,140,18,0,188
Gates,,,,,,,,,,
"",1,271,82,119,24,11,16,4,0,15
"",2,359,112,172,25,15,8,0,0,27
"",3,385,101,192,34,6,25,2,0,25
"",4,410,94,207,43,8,11,6,0,41
"",5,442,113,241,40,9,17,1,0,21
"",6,432,149,201,25,14,18,3,0,22
"",7,816,173,472,64,19,30,5,0,53
"",8,306,73,169,25,9,9,0,0,21
"",9,469,139,234,29,6,19,5,0,37
"",10,234,70,115,25,2,8,1,0,13
"",11,299,79,156,28,9,11,3,0,13
"",12,282,84,133,16,6,12,3,0,28
"",13,446,121,220,41,8,29,1,0,26
"",14,327,81,175,26,5,14,1,0,25
"",15,647,181,333,38,10,34,4,0,47
"",16,316,109,156,17,6,12,1,0,15
"",17,403,109,199,26,5,18,3,1,42
"",18,455,102,260,39,5,12,4,0,33
"",19,362,76,204,35,7,13,0,0,27
"",20,363,87,193,33,9,24,2,1,14
"",21,350,88,199,21,6,14,1,0,21
"",22,298,86,144,29,7,10,2,0,20
"",23,376,93,206,40,8,14,1,1,13
"",24,676,194,325,53,16,33,9,0,46
"",25,338,93,163,28,6,16,5,0,27
"",26,493,103,287,46,12,19,3,0,23
"",27,526,143,277,34,6,19,3,0,44
"",28,327,81,176,23,9,17,1,0,20
"",29,395,122,188,29,10,15,6,0,25
"",30,256,67,137,25,6,5,1,0,15
"",31,322,79,176,23,8,12,0,0,24
"",32,424,114,210,39,12,20,2,0,27
"",33,205,77,97,8,6,5,2,0,10
"",34,369,102,192,32,7,9,5,0,22
"",35,272,68,146,18,4,17,0,0,19
Gates,,"13,651","3,645","7,074","1,081",292,565,90,3,901
Greece,,,,,,,,,,
"",1,362,75,196,47,12,14,2,0,16
"",2,460,78,273,55,15,25,1,0,13
"",3,344,76,219,21,6,10,1,0,11
"",4,333,76,193,35,3,14,0,0,12
"",5,297,80,160,19,5,18,1,0,14
"",6,325,94,159,27,11,20,0,0,14
"",7,436,114,220,37,8,20,5,0,32
"",8,394,83,197,40,11,25,4,0,34
"",9,404,103,190,43,14,24,3,0,27
"",10,361,95,181,29,13,21,3,0,19
