Ogden,,,,,,,,
"",1,449,224,52,24,6,1,142
"",2,492,282,55,35,6,3,111
"",3,737,448,69,40,8,2,170
"",4,458,267,59,32,1,3,96
"",5,448,247,59,39,2,1,100
"",6,625,333,63,36,3,1,189
"",7,321,181,41,28,2,0,69
"",8,604,352,57,37,4,2,152
"",9,487,252,44,38,4,1,148
"",10,509,280,67,37,0,1,124
"",11,533,310,70,37,2,0,114
"",12,638,349,62,48,4,4,171
"",13,487,277,56,44,2,4,104
"",14,466,262,50,36,1,2,115
"",15,656,386,74,37,7,2,150
"",16,331,197,42,16,2,2,72
"",17,450,264,38,39,6,0,103
"",18,708,395,74,61,6,2,170
"",19,617,330,73,40,3,1,170
"",20,585,311,89,46,4,0,135
Ogden,,"10,601","5,947","1,194",750,73,32,"2,605"
Sweden,,,,,,,,
"",1,509,256,51,41,2,0,159
"",2,281,108,23,36,7,1,106
"",3,566,234,69,51,6,3,203
"",4,580,284,60,52,8,4,172
"",5,137,59,11,10,4,0,53
"",6,433,202,62,51,5,3,110
"",7,481,238,59,42,4,1,137
"",8,421,216,61,36,3,1,104
"",9,430,206,42,42,6,2,132
"",10,672,372,87,44,6,2,161
"",11,182,73,21,24,1,3,60
"",12,444,235,70,20,7,4,108
Sweden,,"5,136","2,483",616,449,59,24,"1,505"
GRAND TOTAL:,,"15,737","8,430","1,810","1,199",132,56,"4,110"
