Henrietta,,,,,,,,,
"",1,533,198,231,37,19,4,0,44
"",2,422,150,176,27,17,0,0,52
"",3,318,191,76,12,7,5,0,27
"",4,509,291,148,22,14,0,0,34
"",5,459,176,182,38,14,3,0,46
"",6,435,153,175,41,19,3,0,44
"",7,354,151,135,28,8,3,0,29
"",8,431,155,192,26,20,3,1,34
"",9,372,179,122,27,14,1,0,29
"",10,435,169,173,32,8,2,0,51
"",11,426,218,140,22,9,0,1,36
"",12,409,136,181,38,22,0,0,32
"",13,728,347,262,46,13,5,0,55
"",14,424,177,149,28,17,3,0,50
"",15,558,221,226,32,15,4,1,59
"",16,302,151,97,19,10,2,0,23
"",17,486,204,176,40,22,2,1,41
"",18,524,230,196,26,16,1,0,55
"",19,396,149,177,24,13,3,1,29
"",20,740,314,303,40,18,7,0,58
"",21,348,140,140,30,9,2,0,27
"",22,639,279,248,46,15,3,1,47
"",23,471,212,170,30,22,3,0,34
"",24,573,267,187,26,15,5,0,73
"",25,394,139,164,32,14,3,0,42
"",26,854,312,360,69,30,2,0,81
"",27,729,274,300,50,27,5,0,73
"",28,508,194,223,38,16,2,1,34
"",29,"1,427",685,474,97,36,5,3,127
"",30,"1,056",509,359,47,30,8,0,103
"",31,324,172,84,20,8,1,1,38
"",32,665,312,244,37,19,1,0,52
"",33,346,148,128,28,13,0,1,28
"",34,309,142,113,18,5,2,0,29
"",35,635,251,257,55,15,3,0,54
Henrietta,,"18,539","7,996","6,968","1,228",569,96,12,"1,670"
Wheatland,,,,,,,,,
"",1,449,163,181,55,11,3,0,36
"",2,471,112,239,55,21,1,0,43
"",3,602,218,258,49,20,5,1,51
"",4,502,179,207,42,23,1,1,49
"",5,534,125,277,69,17,2,0,44
Wheatland,,"2,558",797,"1,162",270,92,12,2,223
GRAND TOTAL:,,"21,097","8,793","8,130","1,498",661,108,14,"1,893"
