Clarkson,,,,,,,,
"",1,640,368,88,44,3,1,136
"",2,88,50,10,4,0,1,23
"",3,497,288,49,34,6,1,119
"",4,716,461,82,49,3,1,120
"",5,986,513,129,77,11,2,254
"",6,402,230,43,32,3,3,91
Clarkson,,"3,329","1,910",401,240,26,9,743
Hamlin,,,,,,,,
"",1,452,244,53,46,7,3,99
"",2,473,289,74,29,3,0,78
"",3,482,265,69,36,3,0,109
"",4,340,228,45,22,0,1,44
"",5,426,258,57,26,8,0,77
"",6,371,213,37,31,2,1,87
"",7,547,318,71,33,4,3,118
"",8,331,195,40,27,3,2,64
"",9,283,180,24,19,2,1,57
"",10,509,297,59,27,3,1,122
Hamlin,,"4,214","2,487",529,296,35,12,855
Riga,,,,,,,,
"",1,779,455,87,58,7,3,169
"",2,592,363,61,36,5,1,126
"",3,377,207,43,24,6,0,97
"",4,506,311,58,33,2,1,101
"",5,491,332,44,28,0,1,86
"",6,476,278,73,31,1,1,92
Riga,,"3,221","1,946",366,210,21,7,671
Sweden,,,,,,,,
"",1,509,253,49,46,2,0,159
"",2,281,108,23,34,7,2,107
"",3,566,233,65,55,7,4,202
"",4,580,280,60,54,10,3,173
"",5,137,56,11,11,4,0,55
"",6,433,204,58,53,7,3,108
"",7,481,242,55,42,3,1,138
"",8,421,208,65,37,3,1,107
"",9,430,204,46,43,2,2,133
"",10,672,376,89,45,5,3,154
"",11,182,67,25,20,4,3,63
Sweden,,,,,,,,
"",12,444,229,72,22,6,2,113
Sweden,,"5,136","2,460",618,462,60,24,"1,512"
GRAND TOTAL:,,"15,900","8,803","1,914","1,208",142,52,"3,781"
