Leg. Dist. 21,,,,,,,,,,
"",1,371,208,61,38,17,10,2,2,33
"",2,316,182,71,18,7,5,6,0,27
"",3,220,150,32,4,3,5,2,1,23
"",4,216,151,17,7,2,1,2,1,35
"",6,446,279,55,15,9,12,6,4,66
"",9,408,251,83,21,11,9,0,2,31
"",10,476,324,81,14,6,5,6,1,39
"",12,734,467,136,31,17,7,9,1,66
"",14,178,124,25,6,5,1,4,0,13
"",15,494,337,67,17,8,6,4,0,55
"",17,380,250,37,20,12,10,4,0,47
"",26,119,84,13,5,1,1,1,2,12
Leg. Dist. 21,,"4,358","2,807",678,196,98,72,46,14,447
Leg. Dist. 23,,,,,,,,,,
"",1,196,129,38,5,4,5,0,0,15
"",2,380,244,47,23,14,7,6,3,36
"",3,283,176,48,17,9,4,2,0,27
"",4,519,332,104,10,11,4,4,0,54
"",5,263,162,42,11,12,5,3,1,27
"",6,224,146,34,7,10,5,3,0,19
"",7,424,262,68,37,15,6,4,2,30
"",8,381,237,59,30,8,7,8,1,31
"",9,259,175,38,12,5,6,1,0,22
"",10,306,186,57,13,11,0,6,2,31
"",11,356,244,56,27,10,2,0,0,17
"",13,333,210,71,8,3,2,2,1,36
"",14,362,238,56,20,8,10,2,0,28
"",15,263,169,44,13,8,4,0,1,24
"",17,497,286,90,33,14,7,6,1,60
"",20,422,273,74,21,9,8,5,1,31
"",21,323,207,72,10,4,9,2,0,19
"",28,415,275,43,22,13,12,5,2,43
"",29,76,46,19,2,0,1,1,0,7
Leg. Dist. 23,,"6,282","3,997","1,060",321,168,104,60,15,557
Leg. Dist. 24,,,,,,,,,,
"",1,419,268,59,47,13,9,3,1,19
"",2/22,330,240,37,25,9,6,7,0,6
"",3/23,320,228,45,18,6,7,4,0,12
"",4,465,309,53,27,13,18,4,1,40
"",5/24,431,279,74,14,7,6,7,0,44
Leg. Dist. 24,,,,,,,,,,
"",6,289,184,44,14,5,7,4,0,31
"",7/19,321,208,57,12,7,7,6,0,24
"",8,307,195,58,20,6,5,5,1,17
"",9,252,150,68,6,9,3,1,0,15
"",10,462,311,53,50,14,11,2,1,20
"",11/12,282,185,46,8,3,2,1,0,37
"",13,408,277,38,31,11,10,4,1,36
"",14/21,531,359,59,46,17,9,5,2,34
"",15,438,259,67,26,14,9,7,1,55
"",16,371,227,64,24,11,6,4,0,35
"",17,139,77,42,0,1,0,1,0,18
"",18,407,261,69,16,12,14,1,1,33
"",20,79,50,9,6,1,3,2,0,8
Leg. Dist. 24,,"6,251","4,067",942,390,159,132,68,9,484
Leg. Dist. 25,,,,,,,,,,
"",12/28,370,249,34,37,7,15,6,1,21
"",29/30,299,208,31,16,5,9,2,1,27
Leg. Dist. 25,,669,457,65,53,12,24,8,2,48
Leg. Dist. 28,,,,,,,,,,
"",8,312,237,17,9,3,2,1,0,43
"",10,145,91,15,6,3,5,1,2,22
"",11,289,196,23,9,5,3,1,0,52
"",13,344,219,40,9,6,6,0,1,63
"",14,347,250,35,16,5,2,3,1,35
"",15,151,97,16,8,3,0,1,0,26
"",22,202,140,12,9,1,1,3,1,35
Leg. Dist. 28,,"1,790","1,230",158,66,26,19,10,5,276
Leg. Dist. 29,,,,,,,,,,
"",1,53,41,3,3,1,1,0,0,4
"",3,18,15,2,0,0,0,0,0,1
"",4,376,227,72,10,9,9,1,0,48
"",5,398,284,39,12,4,5,5,0,49
"",6,253,176,39,6,2,5,0,0,25
"",7,243,135,45,9,7,3,3,1,40
"",9,557,362,64,5,9,6,4,5,102
"",19,222,153,22,7,4,0,1,0,35
"",25/28,462,318,53,11,6,8,1,0,65
Leg. Dist. 29,,"2,582","1,711",339,63,42,37,15,6,369
CITY,,"21,932","14,269","3,242","1,089",505,388,207,51,"2,181"
Chili,,,,,,,,,,
"",1,339,134,147,8,9,5,4,0,32
"",2,526,125,295,17,10,4,13,0,62
"",3,518,203,218,11,17,9,10,1,49
"",4,346,121,166,6,7,3,5,0,38
"",5,424,183,180,4,6,1,6,0,44
"",6,441,162,186,10,12,6,5,1,59
"",7,271,130,88,8,6,3,4,0,32
"",8,454,148,235,9,12,1,6,0,43
"",9,435,173,187,11,12,5,6,0,41
"",10,302,93,157,11,9,1,5,1,25
"",11,473,171,230,12,12,2,6,0,40
"",12,442,188,184,9,9,3,6,1,42
"",13,630,212,309,12,15,3,9,0,70
"",14,442,139,235,16,7,1,3,0,41
"",15,371,141,163,4,17,5,5,1,35
"",16,842,299,423,15,18,7,6,0,74
"",17,"1,024",350,489,19,21,10,10,0,125
"",18,487,154,252,10,14,4,5,1,47
"",19,413,176,172,11,1,2,3,0,48
"",20,598,261,231,27,9,5,2,1,62
"",21,301,134,114,6,6,3,4,2,32
"",22,512,263,165,15,10,2,9,2,46
"",23,349,124,161,10,8,1,4,0,41
"",24,933,386,378,19,23,9,11,1,106
"",25,386,191,102,25,10,3,6,2,47
"",26,582,170,305,13,22,2,14,1,55
"",27,416,161,176,14,13,5,3,2,42
"",28,362,156,137,12,7,0,4,0,46
"",29,285,101,128,10,8,3,5,0,30
"",30,309,124,118,14,7,2,6,0,38
"",31,430,189,175,12,10,4,2,0,38
"",32,495,171,224,15,12,4,5,0,64
Chili,,"15,138","5,733","6,730",395,359,118,192,17,"1,594"
Henrietta,,,,,,,,,,
"",1,533,217,233,12,12,8,10,0,41
"",2,422,160,187,11,6,1,9,0,48
"",3,318,183,83,4,2,11,5,0,30
"",4,509,294,127,18,9,10,8,0,43
"",5,459,187,193,9,6,2,8,0,54
"",6,435,162,201,9,15,4,4,1,39
"",7,354,151,149,5,13,3,3,0,30
Henrietta,,,,,,,,,,
"",8,431,167,191,16,14,3,6,1,33
"",9,372,190,133,6,4,1,3,0,35
"",10,435,158,201,13,7,7,1,0,48
"",11,426,231,138,13,5,0,4,1,34
"",12,409,140,200,8,16,5,4,1,35
"",13,728,366,257,9,12,6,10,1,67
"",14,424,186,161,16,11,3,3,1,43
"",15,558,231,233,19,10,3,10,0,52
"",16,302,148,106,12,6,6,3,0,21
"",17,486,205,199,17,15,4,4,1,41
"",18,524,234,209,14,11,4,2,1,49
"",19,396,167,180,10,7,6,5,2,19
"",20,740,332,303,15,14,9,9,0,58
"",21,348,152,145,11,5,5,1,0,29
"",22,639,285,258,17,12,5,8,0,54
"",23,471,219,178,9,11,7,8,0,39
"",24,573,264,186,21,12,8,7,0,75
"",25,394,145,174,8,12,7,6,2,40
"",26,854,343,375,19,19,7,10,0,81
"",27,729,288,332,7,22,6,10,0,64
"",28,508,195,256,7,11,8,6,1,24
"",29,"1,427",693,504,34,38,16,18,3,121
"",30,"1,056",534,353,25,18,8,21,1,96
"",31,324,173,98,5,4,4,4,0,36
"",32,665,331,256,7,15,3,6,0,47
"",33,346,135,146,18,7,3,4,1,32
"",34,309,143,110,9,6,6,4,1,30
"",35,635,261,280,9,11,11,4,9,50
Henrietta,,"18,539","8,270","7,335",442,398,200,228,28,"1,638"
TOWNS,,"33,677","14,003","14,065",837,757,318,420,45,"3,232"
GRAND TOTAL:,,"55,609","28,272","17,307","1,926","1,262",706,627,96,"5,413"
