Leg. Dist. 07,,,,,,,,,,,,,
Leg. Dist. 23,,"10,304","7,003","1,275",283,343,486,226,146,37,164,5,336
Leg. Dist. 24,,,,,,,,,,,,,
"",1,423,302,29,10,8,37,13,13,1,3,0,7
"",2/22,332,241,25,7,13,24,8,6,0,3,0,5
"",3/23,321,236,29,5,10,20,6,6,0,5,0,4
"",4,469,315,40,9,27,27,10,15,2,8,1,15
"",5/24,434,305,63,12,12,9,8,4,1,8,0,12
"",6,291,205,24,8,13,15,7,6,0,5,0,8
"",7/19,332,236,35,9,13,11,4,3,0,8,0,13
"",8,317,207,44,12,11,11,5,6,1,12,0,8
"",9,252,169,35,13,10,5,9,4,0,7,0,0
"",10,468,314,38,5,24,45,12,12,0,9,0,9
"",11/12,282,200,39,2,3,7,3,4,0,2,0,22
"",13,409,284,29,9,16,30,9,9,2,7,0,14
"",14/21,534,341,50,11,35,40,15,10,3,10,0,19
"",15,440,271,50,11,18,30,12,10,0,6,0,32
"",16,376,255,43,10,18,26,8,2,3,3,0,8
"",17,139,97,27,2,1,1,1,0,1,2,1,6
Leg. Dist. 24,,,,,,,,,,,,,
"",18,411,271,39,11,19,17,14,11,1,11,0,17
"",20,79,54,4,1,6,7,1,1,0,2,0,3
Leg. Dist. 24,,"6,309","4,303",643,147,257,362,145,122,15,111,2,202
Leg. Dist. 25,,,,,,,,,,,,,
"",1,436,333,40,5,13,15,7,5,0,5,1,12
"",2,361,283,14,1,18,13,2,4,1,3,1,21
"",3,410,333,17,5,5,11,3,5,0,2,0,29
"",4/24,205,153,15,3,2,8,3,1,0,0,0,20
"",5,350,283,9,2,5,10,1,3,0,1,0,36
"",6,273,184,15,10,19,21,2,4,1,9,1,7
"",7,437,369,5,2,5,7,6,2,2,0,0,39
"",8,361,304,10,3,5,8,0,7,2,2,0,20
"",9,178,146,0,1,1,4,2,5,1,2,0,16
"",10,376,300,16,3,7,15,4,2,1,3,0,25
"",11,185,152,1,2,1,6,0,5,0,0,0,18
"",12/28,373,250,23,4,25,37,6,12,0,7,0,9
"",13,330,264,4,2,8,16,1,3,0,3,0,29
"",14,184,136,10,5,4,14,5,4,1,3,0,2
"",15,272,243,4,0,2,7,0,2,1,1,0,12
"",16,313,243,17,3,1,11,1,5,0,1,0,31
"",17,262,207,5,3,3,11,2,3,1,1,0,26
"",18,423,348,21,3,9,8,2,1,1,1,2,27
"",20,121,85,14,3,2,6,2,0,1,3,0,5
"",21/28-19,265,201,16,6,3,8,6,3,1,3,0,18
"",22,248,190,15,2,10,9,8,2,0,2,0,10
"",23,211,163,16,0,6,2,2,4,0,2,0,16
"",25,562,415,46,12,16,15,8,6,3,5,0,36
"",26/27,185,120,14,0,7,7,10,7,2,2,0,16
Leg. Dist. 25,,,,,,,,,,,,,
"",29/30,301,210,21,5,16,15,3,6,1,5,0,19
Leg. Dist. 25,,"7,622","5,915",368,85,193,284,86,101,20,66,5,499
Leg. Dist. 26,,,,,,,,,,,,,
"",1,583,342,124,29,6,32,9,6,1,7,0,27
"",2,256,161,48,15,6,10,5,2,0,4,0,5
"",3,175,104,37,4,3,12,2,1,1,4,0,7
"",4,313,179,71,13,4,17,10,5,0,2,0,12
"",5,329,226,43,12,9,8,7,3,1,2,0,18
"",6,289,208,25,7,4,15,5,4,0,0,0,21
"",7,381,258,59,14,3,13,3,2,0,4,0,25
"",8,354,252,39,14,4,12,8,2,0,3,0,20
"",9,382,244,50,15,7,19,8,6,4,8,1,20
"",10,395,263,53,13,5,20,10,6,4,3,0,18
"",11,318,192,62,7,10,11,6,2,2,4,0,22
"",12,342,178,91,16,7,18,10,6,0,5,0,11
"",13,365,207,80,24,1,18,12,1,2,7,0,13
"",14,383,234,67,27,6,20,8,7,1,2,0,11
"",15,345,235,41,9,6,15,9,5,0,3,0,22
"",16,324,172,76,17,11,13,13,1,1,8,0,12
"",17,285,165,61,9,6,14,4,4,2,1,1,18
Leg. Dist. 26,,"5,819","3,620","1,027",245,98,267,129,63,19,67,2,282
Leg. Dist. 27,,,,,,,,,,,,,
"",1,421,331,29,15,3,13,6,5,0,3,0,16
"",2,433,350,24,13,4,15,2,1,2,5,0,17
"",3,359,261,37,11,9,13,2,3,0,5,0,18
"",4,439,348,28,11,7,16,7,5,3,5,0,9
"",5,449,368,13,4,6,20,8,6,0,1,0,23
"",6,426,350,15,8,2,12,2,4,0,1,0,32
Leg. Dist. 27,,,,,,,,,,,,,
"",7,404,302,28,7,10,16,6,3,1,3,0,28
"",8,682,556,25,3,5,22,6,8,2,3,0,52
"",9,430,348,19,4,7,19,3,4,2,0,0,24
"",10,396,294,32,10,14,13,7,5,1,4,0,16
"",11,486,381,37,6,13,17,5,5,1,3,0,18
"",12,375,292,21,6,6,15,8,5,3,7,0,12
"",13,436,383,11,3,7,9,7,2,0,0,0,14
"",14,324,275,11,2,3,3,2,3,0,2,0,23
"",15,390,321,10,6,2,17,2,5,0,1,1,25
"",16,409,320,18,8,14,6,5,4,1,3,0,30
"",17,494,388,39,0,5,16,6,1,0,3,0,36
"",18,442,326,57,9,6,11,9,2,0,3,0,19
"",19,449,367,11,4,9,18,2,5,0,4,2,27
"",20,291,248,7,3,2,9,2,2,0,0,0,18
"",21,216,179,7,4,4,8,1,4,0,1,0,8
"",22,349,229,54,3,6,16,7,1,4,1,0,28
"",23,275,228,6,1,5,7,1,4,3,0,0,20
"",25,182,126,24,7,1,7,6,1,0,1,1,8
"",26,244,164,38,5,1,11,9,4,1,0,0,11
Leg. Dist. 27,,"9,801","7,735",601,153,151,329,121,92,24,59,4,532
Leg. Dist. 28,,,,,,,,,,,,,
"",1,355,243,32,5,8,20,4,2,1,7,0,33
"",2,235,167,21,12,8,9,5,1,0,0,0,12
"",3,234,196,6,3,3,7,2,1,0,1,0,15
"",4,221,137,29,3,4,9,8,6,1,1,0,23
"",5,206,145,22,5,3,5,7,1,1,4,0,13
"",6,447,314,41,11,10,21,7,9,2,6,0,26
"",7,560,385,61,12,11,19,15,6,2,7,0,42
Leg. Dist. 28,,,,,,,,,,,,,
"",8,312,251,9,3,3,6,1,3,1,2,0,33
"",9,353,237,53,14,10,12,8,5,2,0,0,12
"",10,145,96,11,2,2,8,3,6,0,0,0,17
"",11,289,212,18,3,7,13,2,3,1,0,0,30
"",12,203,136,17,6,3,4,6,3,2,0,0,26
"",13,345,227,30,8,5,14,11,3,2,2,0,43
"",14,348,262,28,10,6,10,5,2,2,2,0,21
"",15,151,97,16,3,0,10,2,3,0,0,0,20
"",16,289,201,37,5,3,9,7,2,0,2,0,23
"",17,57,39,7,3,1,1,1,0,0,1,0,4
"",18,314,232,24,7,9,15,6,3,0,2,0,16
"",20,454,305,59,13,6,27,10,3,1,3,0,27
"",21,406,292,33,12,8,24,2,6,2,6,0,21
"",22,202,150,15,4,2,8,2,1,0,3,0,17
Leg. Dist. 28,,"6,126","4,324",569,144,112,251,114,69,20,49,0,474
Leg. Dist. 29,,,,,,,,,,,,,
"",1,53,41,4,0,0,3,3,1,0,0,0,1
"",2,154,100,11,4,1,9,4,4,1,3,0,17
"",3,18,18,0,0,0,0,0,0,0,0,0,0
"",4,379,256,47,12,5,13,8,6,2,4,0,26
"",5,398,307,29,10,0,14,3,6,5,2,0,22
"",6,253,194,31,3,2,6,0,6,0,0,0,11
"",7,244,151,40,11,2,11,6,3,1,4,0,15
"",8,104,78,7,2,2,4,0,3,0,0,0,8
"",9,557,404,49,8,7,13,9,4,3,5,0,55
"",10,496,409,28,9,5,9,5,3,0,3,0,25
"",11,335,222,46,6,9,6,10,5,3,9,0,19
"",12,431,337,31,10,6,9,4,8,1,4,0,21
Leg. Dist. 29,,,,,,,,,,,,,
"",13,277,229,6,1,2,8,2,1,1,1,0,26
