Leg. Dist. 07,,,,,,,,,,,
"",15,440,290,60,7,30,7,14,1,1,30
"",16,376,244,64,10,30,7,8,2,0,11
"",17,139,96,34,1,3,1,0,0,0,4
"",18,411,271,62,17,16,6,13,1,3,22
"",20,79,57,9,1,6,2,1,0,0,3
Leg. Dist. 24,,"6,309","4,299",889,166,436,96,157,30,13,223
Leg. Dist. 25,,,,,,,,,,,
"",1,436,327,64,8,17,5,3,0,1,11
"",2,361,303,15,4,17,2,10,1,0,9
"",3,410,356,15,6,15,1,4,0,0,13
"",4/24,205,158,14,3,7,2,2,0,0,19
"",5,350,301,9,1,9,0,4,1,0,25
"",6,273,193,23,12,26,6,7,1,0,5
"",7,437,400,3,2,7,1,1,0,0,23
"",8,361,324,9,0,6,2,8,0,0,12
"",9,178,150,2,1,10,0,6,0,0,9
"",10,376,304,27,2,14,4,6,0,0,19
"",11,185,148,6,2,7,2,4,0,0,16
"",12/28,373,256,29,7,42,14,12,2,0,11
"",13,330,281,7,1,14,2,5,0,0,20
Leg. Dist. 25,,,,,,,,,,,
"",14,184,130,19,4,17,7,5,0,0,2
"",15,272,237,11,1,7,0,2,1,0,13
"",16,313,246,28,4,6,2,5,1,0,21
"",17,262,225,3,1,8,2,5,1,0,17
"",18,423,342,26,5,9,4,7,1,2,27
"",20,121,75,26,7,3,4,1,1,1,3
"",21/28-19,265,212,19,5,10,3,6,0,0,10
"",22,248,190,22,6,13,3,5,1,0,8
"",23,211,165,15,0,7,0,3,1,0,20
"",25,562,421,58,10,24,6,7,0,0,36
"",26/27,185,130,17,1,11,3,10,2,0,11
"",29/30,301,210,39,3,23,3,9,0,0,14
Leg. Dist. 25,,"7,622","6,084",506,96,329,78,137,14,4,374
Leg. Dist. 26,,,,,,,,,,,
"",1,583,306,186,34,27,8,7,2,0,13
"",2,256,138,69,22,8,6,4,1,0,8
"",3,175,95,56,4,6,4,3,0,0,7
"",4,313,146,103,16,20,7,4,2,1,14
"",5,329,205,73,9,16,4,3,1,0,18
"",6,289,212,47,5,7,3,4,1,0,10
"",7,381,249,83,12,11,4,6,1,1,14
"",8,354,239,57,12,21,5,5,1,0,14
"",9,382,232,68,21,22,11,9,3,0,16
"",10,395,251,78,18,19,5,8,0,1,15
"",11,318,158,103,14,11,5,7,3,1,16
"",12,342,153,123,21,15,8,8,2,0,12
Leg. Dist. 26,,,,,,,,,,,
"",13,365,180,122,29,11,9,3,0,0,11
"",14,383,197,117,30,11,13,5,1,0,9
"",15,345,225,58,13,18,10,9,1,0,11
"",16,324,156,109,20,11,11,4,1,0,12
"",17,285,141,95,13,6,4,6,2,1,17
Leg. Dist. 26,,"5,819","3,283","1,547",293,240,117,95,22,5,217
Leg. Dist. 27,,,,,,,,,,,
"",1,421,331,39,14,17,6,4,0,1,9
"",2,433,350,33,16,16,2,2,2,0,12
"",3,359,263,45,12,15,5,7,1,0,11
"",4,439,351,38,10,17,4,7,0,0,12
"",5,449,373,17,7,25,2,7,1,0,17
"",6,426,358,20,8,14,4,1,0,0,21
"",7,404,312,42,8,20,2,10,0,0,10
"",8,682,566,29,4,23,4,11,1,1,43
"",9,430,347,27,7,22,2,5,1,0,19
"",10,396,286,58,9,20,2,6,5,1,9
"",11,486,393,41,6,20,5,4,1,0,16
"",12,375,305,22,7,13,5,3,6,0,14
"",13,436,386,17,2,16,3,5,1,0,6
"",14,324,277,22,0,10,1,4,0,0,10
"",15,390,337,10,6,15,1,4,1,0,16
"",16,409,336,19,10,13,6,5,0,1,19
"",17,494,398,42,3,18,3,3,1,0,26
"",18,442,306,80,8,17,7,8,2,0,14
"",19,449,386,18,5,17,3,6,0,0,14
Leg. Dist. 27,,,,,,,,,,,
